target_class,start_frame,end_frame,update_id,donor_count,x,y,error_dx,error_dy,center_error,iou,valid,boundary
large_tower,7,8,large_tower:8,11,3433.0,45.0,-8.5,11.0,13.901438774457844,0.556893318859173,1,0
large_tower,8,9,large_tower:9,10,3443.0,99.0,-9.75,7.5,12.300914600142544,0.5890944498539435,1,0
large_tower,9,10,large_tower:10,10,3453.5,154.0,-9.5,7.5,12.103718436910205,0.5945945945945946,1,0
large_tower,10,11,large_tower:11,9,3463.5,209.5,-11.5,8.5,14.300349646075091,0.5427958666406707,1,0
large_tower,11,12,large_tower:12,9,3474.0,266.0,-11.5,9.0,14.603081866510234,0.5362234506837358,1,0
large_tower,12,13,large_tower:13,8,3485.0,323.0,-9.75,8.0,12.61199825562944,0.5837382250867625,1,0
large_tower,13,14,large_tower:14,8,3495.5,381.0,-11.0,8.5,13.901438774457844,0.5559633027522936,1,0
large_tower,14,15,large_tower:15,9,3507.0,439.5,-8.5,7.0,11.01135777277262,0.6250317468380149,1,0
large_tower,15,16,large_tower:16,9,3518.0,499.0,-9.0,7.5,11.715374513859981,0.6082577041986637,1,0
large_tower,16,17,large_tower:17,9,3529.5,559.5,-9.0,7.0,11.40175425099138,0.6173285198555957,1,0
large_tower,17,18,large_tower:18,9,3540.5,620.5,-9.0,7.0,11.40175425099138,0.6166902404526167,1,0
large_tower,18,19,large_tower:19,8,3552.0,682.5,-11.25,4.25,12.026013470805694,0.623603130509786,1,0
large_tower,19,20,large_tower:20,8,3564.0,746.0,-14.25,5.25,15.18634254848744,0.5554609687579808,1,0
large_tower,20,21,large_tower:21,9,3576.0,809.5,-15.5,2.5,15.700318468107582,0.5795203766367515,1,0
large_tower,21,22,large_tower:22,9,3588.0,874.5,-16.0,0.5,16.00781059358212,0.604066985645933,1,0
large_tower,22,23,large_tower:23,8,3600.5,940.0,-16.75,1.0,16.779824194549835,0.5863720528329835,1,0
large_tower,23,24,large_tower:24,7,3613.0,1007.5,-19.5,4.0,19.90602923739438,0.49976607092729486,0,0
medium_launcher,14,15,medium_launcher:15,9,3742.0,8.5,-9.0,28.0,29.410882339705484,0.034013605442176874,0,1
medium_launcher,15,16,medium_launcher:16,9,3753.5,47.0,-9.5,14.5,17.334935823359714,0.36788750817527793,0,0
