model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M2_SHARED_OPEN_LOOP,16,16-32,15,15,1.0,0,0.0,0.010836014250222644,0.0,178.78828261382233,1.7240413004517268,17.333333333333332,11.266666666666667
M2_SHARED_OPEN_LOOP,16,4-<8,16,16,1.0,0,0.0,0.0,0.0,86.49795384207904,4.767511630801312,3.3125,2.0625
M2_SHARED_OPEN_LOOP,16,8-<16,19,19,1.0,0,0.0,0.0,0.0,153.85138933399335,3.0397203887281004,6.631578947368421,8.31578947368421
M2_SHARED_OPEN_LOOP,17,16-32,12,12,1.0,0,0.0,0.004489861590218744,0.0,200.91216395697472,1.880071941530307,18.166666666666668,12.0
M2_SHARED_OPEN_LOOP,17,4-<8,14,14,1.0,0,0.0,0.0,0.0,89.99086950365148,4.994479328048823,3.4285714285714284,2.2857142857142856
M2_SHARED_OPEN_LOOP,17,8-<16,15,15,1.0,0,0.0,0.0,0.0,158.411252756867,3.1702311026385552,6.8,9.466666666666667
M2_SHARED_OPEN_LOOP,18,16-32,9,9,1.0,0,0.0,0.0014008872285780996,0.0,220.32759700046657,2.002978154549696,19.11111111111111,8.88888888888889
M2_SHARED_OPEN_LOOP,18,4-<8,12,12,1.0,0,0.0,0.0,0.0,92.65388069940025,5.458746258848855,3.6666666666666665,2.5
M2_SHARED_OPEN_LOOP,18,8-<16,11,11,1.0,0,0.0,0.0,0.0,164.7118696390761,3.2722341511373054,6.636363636363637,11.181818181818182
M2_SHARED_OPEN_LOOP,19,16-32,7,7,1.0,0,0.0,0.0008247686065853747,0.0,234.5810094615504,2.13255463146864,19.857142857142858,9.0
M2_SHARED_OPEN_LOOP,19,4-<8,10,10,1.0,0,0.0,0.0,0.0,95.71684347206417,5.742651714264759,3.9,2.5
M2_SHARED_OPEN_LOOP,19,8-<16,8,8,1.0,0,0.0,0.0,0.0,169.42311663977318,3.3692262097422696,6.625,9.75
M2_SHARED_OPEN_LOOP,20,16-32,5,5,1.0,0,0.0,0.0024540848638378724,0.0,247.7927561491659,2.2193155813760197,22.6,9.2
M2_SHARED_OPEN_LOOP,20,4-<8,8,8,1.0,0,0.0,0.0,0.0,105.19388532665613,6.2094906801823395,4.125,2.75
M2_SHARED_OPEN_LOOP,20,8-<16,6,6,1.0,0,0.0,0.0,0.0,177.00081138954647,3.490957440014043,6.833333333333333,12.0
M2_SHARED_OPEN_LOOP,21,16-32,3,3,1.0,0,0.0,0.0,0.0,264.9834900517389,2.4089408186521717,31.666666666666668,8.333333333333334
M2_SHARED_OPEN_LOOP,21,4-<8,6,6,1.0,0,0.0,0.0,0.0,108.6905577616269,6.858132523058095,4.333333333333333,2.8333333333333335
M2_SHARED_OPEN_LOOP,21,8-<16,4,4,1.0,0,0.0,0.0,0.0,184.91302454248887,3.6399108786523766,7.5,16.0
M2_SHARED_OPEN_LOOP,22,16-32,2,2,1.0,0,0.0,0.0,0.0,273.88602876842754,2.6896167421980435,38.5,8.5
M2_SHARED_OPEN_LOOP,22,4-<8,4,4,1.0,0,0.0,0.0,0.0,112.91285517385953,7.210552614245473,4.75,2.75
M2_SHARED_OPEN_LOOP,22,8-<16,2,2,1.0,0,0.0,0.0,0.0,193.67824382210273,3.7609097279766353,7.5,8.0
M2_SHARED_OPEN_LOOP,23,16-32,1,1,1.0,0,0.0,0.0,0.0,283.07651350827393,2.9797527737713048,45.0,9.0
M2_SHARED_OPEN_LOOP,23,4-<8,2,2,1.0,0,0.0,0.0,0.0,122.9745463841684,7.818288324021352,5.5,3.0
M2_SHARED_OPEN_LOOP,23,8-<16,1,1,1.0,0,0.0,0.0,0.0,200.99518029047363,3.8652919286629546,8.0,9.0
M3_ORACLE_REFRESHED_SHARED,1,16-32,63,63,1.0,63,1.0,0.7862988783421111,0.7919375812743823,10.920164833920778,0.10807979194378474,1.9523809523809523,3.2222222222222223
M3_ORACLE_REFRESHED_SHARED,1,4-<8,42,42,1.0,27,0.6428571428571429,0.4976574096952766,0.5148549733346715,7.7862223358545535,0.3624404861337828,0.6190476190476191,0.40476190476190477
M3_ORACLE_REFRESHED_SHARED,1,8-<16,108,108,1.0,76,0.7037037037037037,0.5589739537136553,0.5568501042788744,11.710037212289803,0.24575515516088953,0.7129629629629629,1.75
