model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M1_INDEPENDENT_CV,6,0,138,138,1.0,50,0.36231884057971014,0.41127445785622974,0.44207474268856994,19.1049731745428,0.3711586836497992,3.152173913043478,3.0579710144927534
M1_INDEPENDENT_CV,6,1,17,17,1.0,8,0.47058823529411764,0.4354817409580149,0.47044025157232705,22.299103120977758,0.5762215285808054,19.647058823529413,72.82352941176471
M1_INDEPENDENT_CV,7,0,126,126,1.0,34,0.2698412698412698,0.31334064748841944,0.32330910714416417,25.5049014897137,0.4959335883142918,3.5873015873015874,3.5238095238095237
M1_INDEPENDENT_CV,7,1,16,16,1.0,8,0.5,0.3762054143860323,0.43915489580556244,30.316330745964116,0.7255238626458731,20.5625,87.5
M1_INDEPENDENT_CV,8,0,114,114,1.0,10,0.08771929824561403,0.22932333643563912,0.21400277231302195,32.55956075126464,0.6303976561830843,4.114035087719298,3.991228070175439
M1_INDEPENDENT_CV,8,1,15,15,1.0,2,0.13333333333333333,0.3118321253785197,0.43630072349795535,38.81043674065006,0.7568447252895099,20.933333333333334,103.0
M1_INDEPENDENT_CV,9,0,104,104,1.0,0,0.0,0.16157165184139038,0.11423096863519591,40.60006889620327,0.7887576567913133,4.519230769230769,4.384615384615385
M1_INDEPENDENT_CV,9,1,13,13,1.0,0,0.0,0.23288863395312218,0.3742690058479532,46.82413907377262,0.5461778550138033,20.615384615384617,108.38461538461539
M1_INDEPENDENT_CV,10,0,94,94,1.0,0,0.0,0.10732208243762177,0.021942784685514125,49.505049989850555,0.9760012666838567,5.01063829787234,4.638297872340425
M1_INDEPENDENT_CV,10,1,12,12,1.0,0,0.0,0.17007400407001474,0.1774034606410482,57.45779233300246,1.2851700061752052,21.666666666666668,113.16666666666667
M1_INDEPENDENT_CV,11,0,84,84,1.0,0,0.0,0.07047293801472373,0.0,58.358627512213275,1.1613290247008992,5.273809523809524,4.785714285714286
M1_INDEPENDENT_CV,11,1,12,12,1.0,0,0.0,0.12782613473100427,0.13259093940454417,68.2327855603343,1.7279729776490558,22.0,129.75
M1_INDEPENDENT_CV,12,0,75,75,1.0,0,0.0,0.04476791636916209,0.0,68.52919086053767,1.3406237242464774,5.84,5.2
M1_INDEPENDENT_CV,12,1,11,11,1.0,0,0.0,0.10070144147282348,0.14271407110665998,80.18883962248113,1.2371220287940168,23.636363636363637,147.45454545454547
M1_INDEPENDENT_CV,13,0,66,66,1.0,0,0.0,0.025697389241782616,0.0,79.22623663053216,1.5886490899464756,6.015151515151516,5.363636363636363
M1_INDEPENDENT_CV,13,1,11,11,1.0,0,0.0,0.05394411993971582,0.02328087949989222,86.76548853086693,1.7610946293793552,24.181818181818183,160.27272727272728
M1_INDEPENDENT_CV,14,0,57,57,1.0,0,0.0,0.009735097028498948,0.0,90.30088593142374,1.8768813450075144,6.684210526315789,5.87719298245614
M1_INDEPENDENT_CV,14,1,11,11,1.0,0,0.0,0.023234216333966697,0.007941815749874603,100.74348614178487,1.94425426674075,23.545454545454547,168.54545454545453
M1_INDEPENDENT_CV,15,0,48,48,1.0,0,0.0,0.002392528486099293,0.0,103.36056294358801,2.287520790440796,7.3125,6.75
