model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M2_SHARED_OPEN_LOOP,3,large_launcher,21,21,1.0,13,0.6190476190476191,0.5032221157074076,0.5114067504311407,37.05570131572198,0.33459284933861366,10.238095238095237,1.1904761904761905
M2_SHARED_OPEN_LOOP,3,large_tower,15,15,1.0,0,0.0,0.21366772426061462,0.20677613492830077,37.26006575410194,0.5914296151444752,1.9333333333333333,1.8
M2_SHARED_OPEN_LOOP,3,medium_launcher,6,6,1.0,0,0.0,0.03167635312262882,0.03204858095859737,46.18928865815815,1.1872537279380302,13.5,0.6666666666666666
M2_SHARED_OPEN_LOOP,3,medium_plane,1,1,1.0,0,0.0,0.05443959243085881,0.05443959243085881,46.14108798023731,0.9416548567395369,2.0,1.0
M2_SHARED_OPEN_LOOP,3,small_launcher,21,21,1.0,0,0.0,0.212344348385767,0.20673526660430308,15.532224567009067,0.739629741286146,0.47619047619047616,0.23809523809523808
M2_SHARED_OPEN_LOOP,3,small_plane,5,5,1.0,0,0.0,0.04055901529378184,0.04449254449254449,45.89389937671455,1.0672999855049896,1.0,1.4
M2_SHARED_OPEN_LOOP,3,small_tower,16,16,1.0,0,0.0,0.2578212489095471,0.2596241131118607,27.324423430546112,0.5403856929917146,1.4375,2.8125
M2_SHARED_OPEN_LOOP,3,spacecraft,19,19,1.0,3,0.15789473684210525,0.28243505326001067,0.20884787623829557,27.90161285660741,0.6065568012305959,1.105263157894737,2.526315789473684
M2_SHARED_OPEN_LOOP,3,ta-ta,21,21,1.0,0,0.0,0.04251577006318795,0.03939184519695923,26.85609800399157,1.5628124687562484,0.8571428571428571,0.7619047619047619
M2_SHARED_OPEN_LOOP,3,tank,21,21,1.0,0,0.0,0.15887338352941344,0.16234347048300538,34.70230539892127,0.7106335201775947,1.0476190476190477,1.0952380952380953
M2_SHARED_OPEN_LOOP,4,condor,6,6,1.0,0,0.0,0.37753333355535484,0.37193299271455443,60.93767114080444,0.38849649668399544,5.666666666666667,34.666666666666664
M2_SHARED_OPEN_LOOP,4,hangar,1,1,1.0,0,0.0,0.0,0.0,107.55579947171607,0.8273523036285851,5.0,72.0
M2_SHARED_OPEN_LOOP,4,helicopter,14,14,1.0,1,0.07142857142857142,0.39158794785732864,0.4007736424215492,35.520648969123684,0.39288460337867204,3.642857142857143,7.785714285714286
M2_SHARED_OPEN_LOOP,4,jammer,8,8,1.0,0,0.0,0.0036982248520710057,0.0,56.220320788733666,1.6787653633397048,1.0,2.625
M2_SHARED_OPEN_LOOP,4,jet_plane,17,17,1.0,10,0.5882352941176471,0.4717591389057629,0.5073624690776298,23.53720459187964,0.29793929863138785,2.1176470588235294,2.7058823529411766
M2_SHARED_OPEN_LOOP,4,large_launcher,20,20,1.0,2,0.1,0.4085121870617012,0.4097189279718412,49.41354233606117,0.452472283128505,12.6,1.6
M2_SHARED_OPEN_LOOP,4,large_tower,14,14,1.0,0,0.0,0.1190053188578223,0.1140802406876423,47.797144766607076,0.780657733530618,2.5714285714285716,2.357142857142857
M2_SHARED_OPEN_LOOP,4,medium_launcher,5,5,1.0,0,0.0,0.0,0.0,60.400745028517655,1.7257355722433616,15.8,1.0
M2_SHARED_OPEN_LOOP,4,small_launcher,20,20,1.0,0,0.0,0.12057811821704145,0.10479635565900547,19.914336146368072,0.9066358583208437,0.6,0.3
M2_SHARED_OPEN_LOOP,4,small_plane,4,4,1.0,0,0.0,0.0,0.0,62.89777562340973,1.4627389679862728,1.25,1.75
M2_SHARED_OPEN_LOOP,4,small_tower,15,15,1.0,0,0.0,0.14139347522453843,0.16614200769499826,38.46101922726437,0.664016979712128,1.9333333333333333,3.2
M2_SHARED_OPEN_LOOP,4,spacecraft,18,18,1.0,0,0.0,0.18859950287292393,0.09930473423046696,38.8329756778952,0.8441951234325044,1.5,2.5
M2_SHARED_OPEN_LOOP,4,ta-ta,20,20,1.0,0,0.0,0.00035518287009130196,0.0,35.00892702319874,2.1093993520320593,1.15,1.0
M2_SHARED_OPEN_LOOP,4,tank,20,20,1.0,0,0.0,0.05781835004326337,0.04946686051219954,45.79399773506371,0.9480694687383648,1.35,1.5
M2_SHARED_OPEN_LOOP,5,condor,5,5,1.0,0,0.0,0.28982158950858367,0.28249513693091166,74.24158201439407,0.4893811168721372,7.2,40.6
M2_SHARED_OPEN_LOOP,5,helicopter,13,13,1.0,0,0.0,0.29290703294424375,0.2931828880361753,43.96020928066653,0.5108669163758766,4.538461538461538,8.76923076923077
M2_SHARED_OPEN_LOOP,5,jammer,7,7,1.0,0,0.0,0.0,0.0,72.11102550927978,2.1763960639069393,1.4285714285714286,2.5714285714285716
M2_SHARED_OPEN_LOOP,5,jet_plane,16,16,1.0,5,0.3125,0.4117824853194737,0.4474320366789229,27.93304703049151,0.34699528649943207,2.6875,3.3125
M2_SHARED_OPEN_LOOP,5,large_launcher,19,19,1.0,0,0.0,0.33084075607979385,0.3333718689788054,60.43643354798495,0.5522713496914232,14.31578947368421,2.0
M2_SHARED_OPEN_LOOP,5,large_tower,13,13,1.0,0,0.0,0.055247752374521834,0.04565730779323012,58.56726901606391,0.9516945277634284,3.230769230769231,2.923076923076923
M2_SHARED_OPEN_LOOP,5,medium_launcher,4,4,1.0,0,0.0,0.0,0.0,73.6495648965789,2.704900695486183,19.25,1.25
M2_SHARED_OPEN_LOOP,5,small_launcher,19,19,1.0,0,0.0,0.05753163194109267,0.0611084793936523,24.052026941611388,1.0457403018091909,0.631578947368421,0.3157894736842105
M2_SHARED_OPEN_LOOP,5,small_plane,3,3,1.0,0,0.0,0.0,0.0,80.84862398334309,1.8788527909118786,1.6666666666666667,2.3333333333333335
M2_SHARED_OPEN_LOOP,5,small_tower,14,14,1.0,0,0.0,0.06939771292358603,0.0757757026360111,50.31947995751641,0.8675772406468346,2.357142857142857,3.5
M2_SHARED_OPEN_LOOP,5,spacecraft,17,17,1.0,0,0.0,0.12351425776927044,0.02826814353294104,48.088460154178364,1.082861674901961,1.8823529411764706,2.9411764705882355
M2_SHARED_OPEN_LOOP,5,ta-ta,19,19,1.0,0,0.0,0.0,0.0,44.181444068749045,2.7072407076458767,1.4210526315789473,1.105263157894737
M2_SHARED_OPEN_LOOP,5,tank,19,19,1.0,0,0.0,0.003930878646182754,0.0,56.286099527325575,1.1814030587550037,1.6842105263157894,1.894736842105263
M2_SHARED_OPEN_LOOP,6,condor,4,4,1.0,0,0.0,0.22344591910405612,0.2234512498238116,86.71499069041562,0.6346786063171898,8.5,48.5
M2_SHARED_OPEN_LOOP,6,helicopter,12,12,1.0,0,0.0,0.20605077838474206,0.21230848839692146,55.77019642912035,0.6038182240339685,5.5,9.833333333333334
M2_SHARED_OPEN_LOOP,6,jammer,6,6,1.0,0,0.0,0.0,0.0,84.05827382009345,2.535134514217247,1.6666666666666667,3.5
M2_SHARED_OPEN_LOOP,6,jet_plane,15,15,1.0,3,0.2,0.3421680075293867,0.40273128221478294,31.40859754907882,0.38776046356887434,3.2666666666666666,4.0
M2_SHARED_OPEN_LOOP,6,large_launcher,18,18,1.0,0,0.0,0.2643504296338346,0.25832617598574703,72.60926796497301,0.6672736717602756,15.277777777777779,2.4444444444444446
M2_SHARED_OPEN_LOOP,6,large_tower,12,12,1.0,0,0.0,0.014197442952066317,0.00358907559615778,70.02729570140842,1.1206473699135802,3.8333333333333335,3.5
M2_SHARED_OPEN_LOOP,6,medium_launcher,3,3,1.0,0,0.0,0.0,0.0,86.21484790916237,3.939758141672663,25.0,1.3333333333333333
M2_SHARED_OPEN_LOOP,6,small_launcher,18,18,1.0,0,0.0,0.01955385534652683,0.016691967109424416,27.139980641894734,1.2301821185389699,0.7777777777777778,0.2777777777777778
M2_SHARED_OPEN_LOOP,6,small_plane,2,2,1.0,0,0.0,0.0,0.0,95.0750121667705,2.184369203027658,2.5,3.0
M2_SHARED_OPEN_LOOP,6,small_tower,13,13,1.0,0,0.0,0.03328214049226635,0.008698260347930415,63.28111882702454,1.0910537728797336,2.923076923076923,3.923076923076923
M2_SHARED_OPEN_LOOP,6,spacecraft,16,16,1.0,0,0.0,0.08602014696067045,0.017605633802816902,55.59880485921027,1.2108566987353415,2.25,2.8125
M2_SHARED_OPEN_LOOP,6,ta-ta,18,18,1.0,0,0.0,0.0,0.0,52.504393225406695,3.2815245765879184,1.6666666666666667,1.3888888888888888
M2_SHARED_OPEN_LOOP,6,tank,18,18,1.0,0,0.0,0.0,0.0,66.65315834819836,1.394497695775554,2.0555555555555554,2.2777777777777777
M2_SHARED_OPEN_LOOP,7,condor,3,3,1.0,0,0.0,0.1702283955735028,0.1702264677471289,99.22827218086587,0.8269022681738822,10.0,61.333333333333336
M2_SHARED_OPEN_LOOP,7,helicopter,11,11,1.0,0,0.0,0.1323563338545764,0.14940859099398215,68.15607089614248,0.6954701111851274,6.454545454545454,11.0
M2_SHARED_OPEN_LOOP,7,jammer,5,5,1.0,0,0.0,0.0,0.0,97.24325169388362,2.9132703563113314,2.0,3.6
M2_SHARED_OPEN_LOOP,7,jet_plane,14,14,1.0,2,0.14285714285714285,0.2949826501640492,0.31209432343505583,38.01538472567808,0.46932573735405037,3.857142857142857,4.714285714285714
M2_SHARED_OPEN_LOOP,7,large_launcher,17,17,1.0,0,0.0,0.2062739401159266,0.19538060912556138,85.5102333057278,0.7838042041676697,16.294117647058822,2.823529411764706
M2_SHARED_OPEN_LOOP,7,large_tower,11,11,1.0,0,0.0,0.0,0.0,82.36997329124249,1.3503274310039752,4.454545454545454,4.090909090909091
M2_SHARED_OPEN_LOOP,7,medium_launcher,2,2,1.0,0,0.0,0.0,0.0,95.90422945896188,7.524191828621238,31.5,1.5
M2_SHARED_OPEN_LOOP,7,small_launcher,17,17,1.0,0,0.0,0.005782382686629457,0.0,30.308827097068605,1.3776739589576639,0.8823529411764706,0.29411764705882354
M2_SHARED_OPEN_LOOP,7,small_plane,1,1,1.0,0,0.0,0.0,0.0,108.50950419202918,2.4661250952733904,3.0,3.0
M2_SHARED_OPEN_LOOP,7,small_tower,12,12,1.0,0,0.0,0.012214207267338607,0.0,74.3768546708866,1.2823595632911484,3.4166666666666665,4.333333333333333
M2_SHARED_OPEN_LOOP,7,spacecraft,15,15,1.0,0,0.0,0.05720671857143456,0.0011233430689732643,60.21627686929839,1.3090494971586606,2.6666666666666665,3.1333333333333333
