model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M2_SHARED_OPEN_LOOP,1,243,232,0.9547325102880658,174,0.75,0.6044306934669732,0.601233741089267,11.132679218235157,0.20508722101738697,1.0560344827586208,2.853448275862069
M2_SHARED_OPEN_LOOP,2,227,217,0.9559471365638766,73,0.33640552995391704,0.3974239979511476,0.3589122240172321,22.327113561766108,0.4087100577084797,1.9216589861751152,3.9078341013824884
M2_SHARED_OPEN_LOOP,3,212,202,0.9528301886792453,37,0.18316831683168316,0.2677987930216753,0.20675570076630193,32.613239342158025,0.6162600423527244,2.737623762376238,4.53960396039604
M2_SHARED_OPEN_LOOP,4,197,187,0.949238578680203,13,0.06951871657754011,0.18568966224321623,0.10335917312661498,43.00290687848904,0.8313831575822715,3.4171122994652405,5.032085561497326
M2_SHARED_OPEN_LOOP,5,182,172,0.945054945054945,5,0.029069767441860465,0.1342366997179103,0.05319507886256458,52.48838488723248,1.0150661950432505,4.040697674418604,5.127906976744186
M2_SHARED_OPEN_LOOP,6,168,158,0.9404761904761905,3,0.0189873417721519,0.09866170729630014,0.006807836516166696,63.16931612861285,1.1704933644804816,4.582278481012659,4.9113924050632916
M2_SHARED_OPEN_LOOP,7,155,145,0.9354838709677419,2,0.013793103448275862,0.07383441872303843,0.0,72.89718787443039,1.3417294109202564,5.151724137931034,5.413793103448276
M2_SHARED_OPEN_LOOP,8,142,132,0.9295774647887324,1,0.007575757575757576,0.05598718515629969,0.0,83.09331754520115,1.5200293010894295,5.613636363636363,5.924242424242424
M2_SHARED_OPEN_LOOP,9,129,120,0.9302325581395349,1,0.008333333333333333,0.041759559747868394,0.0,93.71961271840567,1.7361314553269818,5.966666666666667,6.225
M2_SHARED_OPEN_LOOP,10,117,108,0.9230769230769231,0,0.0,0.029081646284097533,0.0,102.52067598797365,1.897459441400346,6.157407407407407,5.537037037037037
M2_SHARED_OPEN_LOOP,11,106,98,0.9245283018867925,0,0.0,0.02120547042708677,0.0,112.73162005206288,2.007503388292493,6.704081632653061,6.081632653061225
M2_SHARED_OPEN_LOOP,12,96,88,0.9166666666666666,0,0.0,0.015254872951736482,0.0,121.13210409350465,2.213548638305398,7.204545454545454,6.431818181818182
M2_SHARED_OPEN_LOOP,13,86,79,0.9186046511627907,0,0.0,0.013817423299657966,0.0,128.6905202413915,2.3297479894710595,7.670886075949367,6.962025316455696
M2_SHARED_OPEN_LOOP,14,77,70,0.9090909090909091,0,0.0,0.014119936263219288,0.0,134.7620967559998,2.5225610520375676,8.1,7.5285714285714285
M2_SHARED_OPEN_LOOP,15,68,61,0.8970588235294118,0,0.0,0.009521099087825547,0.0,139.6893875711394,2.742334122204154,8.475409836065573,8.098360655737705
M2_SHARED_OPEN_LOOP,16,59,52,0.8813559322033898,0,0.0,0.003125773341410378,0.0,146.84043139361205,2.7349589423685803,8.826923076923077,8.692307692307692
M2_SHARED_OPEN_LOOP,17,50,43,0.86,0,0.0,0.0012529846298284866,0.0,153.70751445521458,2.686232968957682,9.046511627906977,9.511627906976743
M2_SHARED_OPEN_LOOP,18,41,34,0.8292682926829268,0,0.0,0.0003708230899177322,0.0,146.66668347909226,2.673377200829865,9.147058823529411,9.558823529411764
M2_SHARED_OPEN_LOOP,19,32,26,0.8125,0,0.0,0.00022205308638837011,0.0,148.1326601709017,2.6899881857310057,9.26923076923077,8.692307692307692
M2_SHARED_OPEN_LOOP,20,25,20,0.8,0,0.0,0.0006135212159594681,0.0,158.16165206407834,3.01159034418042,9.9,10.0
M2_SHARED_OPEN_LOOP,21,19,14,0.7368421052631579,0,0.0,0.0,0.0,164.5930630201704,3.251106755387119,11.571428571428571,12.0
M2_SHARED_OPEN_LOOP,22,13,8,0.6153846153846154,0,0.0,0.0,0.0,182.0772206738352,3.3366352201848155,13.875,5.5
M2_SHARED_OPEN_LOOP,23,8,4,0.5,0,0.0,0.0,0.0,191.02771289451846,3.42252235121713,16.0,6.0
M2_SHARED_OPEN_LOOP,24,4,0,0.0,0,,,,,,,
M3_ORACLE_REFRESHED_SHARED,1,243,243,1.0,182,0.7489711934156379,0.6016856648429203,0.6082577041986637,11.01135777277262,0.20534561246876537,1.02880658436214,2.8724279835390947
M3_ORACLE_REFRESHED_SHARED,2,227,227,1.0,78,0.3436123348017621,0.3944355900530034,0.3785900783289817,21.691011963483863,0.40084975901273423,1.8898678414096917,3.9162995594713657
M3_ORACLE_REFRESHED_SHARED,3,212,212,1.0,38,0.1792452830188679,0.2657777025044875,0.2298129712645069,31.832406069267375,0.5894383793355,2.693396226415094,4.523584905660377
M3_ORACLE_REFRESHED_SHARED,4,197,197,1.0,9,0.04568527918781726,0.18374400049928888,0.12033195020746888,41.98288341693553,0.7793052413026456,3.3604060913705585,5.01015228426396
M3_ORACLE_REFRESHED_SHARED,5,182,182,1.0,1,0.005494505494505495,0.13249173530906969,0.050167838272820245,52.06065619542353,0.9627706887119982,3.9725274725274726,5.1208791208791204
M3_ORACLE_REFRESHED_SHARED,6,168,168,1.0,0,0.0,0.09791201210016003,0.009245447230219587,61.39186016306287,1.153837939989617,4.5,4.934523809523809
