model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M2_SHARED_OPEN_LOOP,9,4-<8,26,26,1.0,0,0.0,0.00026351362091185106,0.0,42.110717163211554,1.9395081583262026,1.8846153846153846,2.8076923076923075
M2_SHARED_OPEN_LOOP,9,8-<16,49,49,1.0,0,0.0,0.0075545422858723,0.0,97.1757428579787,1.8870666946505021,4.183673469387755,6.204081632653061
M2_SHARED_OPEN_LOOP,9,<4,7,7,1.0,0,0.0,0.0,0.0,94.25,6.732142857142857,2.7142857142857144,8.142857142857142
M2_SHARED_OPEN_LOOP,10,16-32,32,32,1.0,0,0.0,0.09479171651040824,0.05796245398031624,112.26386151820776,1.0644169088145414,12.125,6.125
M2_SHARED_OPEN_LOOP,10,4-<8,24,24,1.0,0,0.0,7.11439954467843e-05,0.0,48.713061371510314,2.080605177164127,2.125,3.0416666666666665
M2_SHARED_OPEN_LOOP,10,8-<16,43,43,1.0,0,0.0,0.0024598933595057523,0.0,105.30550792812312,2.0816579930430454,4.441860465116279,4.1395348837209305
M2_SHARED_OPEN_LOOP,10,<4,7,7,1.0,0,0.0,0.0,0.0,102.41581909060729,6.827721272707152,3.2857142857142856,8.428571428571429
M2_SHARED_OPEN_LOOP,11,16-32,29,29,1.0,0,0.0,0.07073007626518811,0.031395348837209305,128.0744412441452,1.1699495235928352,13.068965517241379,6.655172413793103
M2_SHARED_OPEN_LOOP,11,4-<8,22,22,1.0,0,0.0,7.058159232072275e-05,0.0,55.66141634402151,2.420061580174848,2.3181818181818183,3.409090909090909
M2_SHARED_OPEN_LOOP,11,8-<16,38,38,1.0,0,0.0,0.0006687130298155746,0.0,114.8474513584595,2.2665370476010276,4.973684210526316,4.631578947368421
M2_SHARED_OPEN_LOOP,11,<4,7,7,1.0,0,0.0,0.0,0.0,112.05913617371856,7.689567246890064,3.7142857142857144,8.571428571428571
M2_SHARED_OPEN_LOOP,12,16-32,26,26,1.0,0,0.0,0.051631877682800406,0.001082763763761479,139.6994198221289,1.273464854520784,13.884615384615385,7.153846153846154
M2_SHARED_OPEN_LOOP,12,4-<8,19,19,1.0,0,0.0,0.0,0.0,56.97587208634897,2.4772118298412598,2.526315789473684,3.0526315789473686
M2_SHARED_OPEN_LOOP,12,8-<16,34,34,1.0,0,0.0,0.0,0.0,125.1656655691495,2.4624640354536886,5.411764705882353,5.0
M2_SHARED_OPEN_LOOP,12,<4,7,7,1.0,0,0.0,0.0,0.0,121.24768039018313,8.626380726842772,3.857142857142857,8.571428571428571
M2_SHARED_OPEN_LOOP,13,16-32,23,23,1.0,0,0.0,0.047459845246651276,0.0,146.79322191436498,1.4003117273965457,14.826086956521738,7.6521739130434785
M2_SHARED_OPEN_LOOP,13,4-<8,17,17,1.0,0,0.0,0.0,0.0,66.84496989302934,2.7852070788762227,2.823529411764706,3.3529411764705883
M2_SHARED_OPEN_LOOP,13,8-<16,30,30,1.0,0,0.0,0.0,0.0,134.22096087237628,2.6055954253902915,5.8,5.433333333333334
M2_SHARED_OPEN_LOOP,13,<4,7,7,1.0,0,0.0,0.0,0.0,135.08978495800488,9.649270354143207,4.0,8.857142857142858
M2_SHARED_OPEN_LOOP,14,16-32,20,20,1.0,0,0.0,0.04941977692126751,0.0,161.5321982675502,1.4722466804128707,15.75,8.1
M2_SHARED_OPEN_LOOP,14,4-<8,15,15,1.0,0,0.0,0.0,0.0,45.89389937671455,1.9953869294223718,2.933333333333333,3.6666666666666665
M2_SHARED_OPEN_LOOP,14,8-<16,26,26,1.0,0,0.0,0.0,0.0,141.1351292262969,2.7196070657224745,6.230769230769231,6.0
M2_SHARED_OPEN_LOOP,14,<4,7,7,1.0,0,0.0,0.0,0.0,123.35821821021898,8.811301300729927,4.142857142857143,8.857142857142858
M2_SHARED_OPEN_LOOP,15,16-32,17,17,1.0,0,0.0,0.034163943785726965,0.0,171.4912534212751,1.5149734743879752,16.58823529411765,8.352941176470589
M2_SHARED_OPEN_LOOP,15,4-<8,13,13,1.0,0,0.0,0.0,0.0,46.502688094345686,2.0218560041019864,3.0,4.076923076923077
M2_SHARED_OPEN_LOOP,15,8-<16,22,22,1.0,0,0.0,0.0,0.0,147.31605798224047,2.8872274734897934,6.636363636363637,6.545454545454546
M2_SHARED_OPEN_LOOP,15,<4,7,7,1.0,0,0.0,0.0,0.0,130.04999038831184,9.28928502773656,4.571428571428571,9.0
M2_SHARED_OPEN_LOOP,16,16-32,14,14,1.0,0,0.0,0.01161001526809569,0.0,180.4521585267035,1.6983043547474146,17.5,8.428571428571429
M2_SHARED_OPEN_LOOP,16,4-<8,11,11,1.0,0,0.0,0.0,0.0,44.263416045307665,1.9244963497959855,3.090909090909091,4.454545454545454
M2_SHARED_OPEN_LOOP,16,8-<16,18,18,1.0,0,0.0,0.0,0.0,154.2937274712499,3.03873526034407,7.055555555555555,7.166666666666667
M2_SHARED_OPEN_LOOP,16,<4,7,7,1.0,0,0.0,0.0,0.0,132.67347134977663,9.476676524984045,4.714285714285714,9.142857142857142
M2_SHARED_OPEN_LOOP,17,16-32,11,11,1.0,0,0.0,0.004898030825693175,0.0,207.7006559931865,1.879406222725566,18.454545454545453,8.545454545454545
M2_SHARED_OPEN_LOOP,17,4-<8,9,9,1.0,0,0.0,0.0,0.0,42.68782027698299,1.8559921859557822,3.2222222222222223,5.222222222222222
M2_SHARED_OPEN_LOOP,17,8-<16,14,14,1.0,0,0.0,0.0,0.0,158.9345616842558,3.1559115278865724,7.214285714285714,8.0
M2_SHARED_OPEN_LOOP,17,<4,7,7,1.0,0,0.0,0.0,0.0,134.6337624817787,9.457780783404676,5.0,9.285714285714286
M2_SHARED_OPEN_LOOP,18,16-32,9,9,1.0,0,0.0,0.0014008872285780996,0.0,220.32759700046657,2.002978154549696,19.11111111111111,8.88888888888889
M2_SHARED_OPEN_LOOP,18,4-<8,7,7,1.0,0,0.0,0.0,0.0,45.2133829745132,1.9657992597614435,3.2857142857142856,6.285714285714286
M2_SHARED_OPEN_LOOP,18,8-<16,9,9,1.0,0,0.0,0.0,0.0,162.77054401825902,3.2554108803651802,6.333333333333333,4.777777777777778
M2_SHARED_OPEN_LOOP,18,<4,7,7,1.0,0,0.0,0.0,0.0,143.54180575706854,10.252986125504895,5.285714285714286,9.428571428571429
M2_SHARED_OPEN_LOOP,19,16-32,7,7,1.0,0,0.0,0.0008247686065853747,0.0,234.5810094615504,2.13255463146864,19.857142857142858,9.0
M2_SHARED_OPEN_LOOP,19,4-<8,5,5,1.0,0,0.0,0.0,0.0,42.79310692155922,1.8605698661547487,2.4,0.8
M2_SHARED_OPEN_LOOP,19,8-<16,7,7,1.0,0,0.0,0.0,0.0,170.4048488159888,3.3641167956369555,6.571428571428571,5.285714285714286
M2_SHARED_OPEN_LOOP,19,<4,6,6,1.0,0,0.0,0.0,0.0,145.92762168020562,10.690210710729788,5.666666666666667,10.333333333333334
M2_SHARED_OPEN_LOOP,20,16-32,5,5,1.0,0,0.0,0.0024540848638378724,0.0,247.7927561491659,2.2193155813760197,22.6,9.2
M2_SHARED_OPEN_LOOP,20,4-<8,4,4,1.0,0,0.0,0.0,0.0,46.187457668063175,2.008150333394051,2.5,1.0
M2_SHARED_OPEN_LOOP,20,8-<16,5,5,1.0,0,0.0,0.0,0.0,177.29706709362114,3.476413080267081,6.8,6.2
M2_SHARED_OPEN_LOOP,20,<4,5,5,1.0,0,0.0,0.0,0.0,148.2582206826994,11.125730886332908,6.0,11.8
M2_SHARED_OPEN_LOOP,21,16-32,3,3,1.0,0,0.0,0.0,0.0,264.9834900517389,2.4089408186521717,31.666666666666668,8.333333333333334
M2_SHARED_OPEN_LOOP,21,4-<8,3,3,1.0,0,0.0,0.0,0.0,48.28301978956991,2.0992617299813006,2.6666666666666665,1.0
M2_SHARED_OPEN_LOOP,21,8-<16,3,3,1.0,0,0.0,0.0,0.0,185.19516732355626,3.6202133678710093,7.333333333333333,7.666666666666667
M2_SHARED_OPEN_LOOP,21,<4,4,4,1.0,0,0.0,0.0,0.0,160.1975870660278,11.70542016244048,6.5,13.75
M2_SHARED_OPEN_LOOP,22,16-32,2,2,1.0,0,0.0,0.0,0.0,273.88602876842754,2.6896167421980435,38.5,8.5
M2_SHARED_OPEN_LOOP,22,4-<8,2,2,1.0,0,0.0,0.0,0.0,55.92956258770458,2.3796978578374905,3.0,1.0
M2_SHARED_OPEN_LOOP,22,8-<16,2,2,1.0,0,0.0,0.0,0.0,193.67824382210273,3.7609097279766353,7.5,8.0
M2_SHARED_OPEN_LOOP,22,<4,2,2,1.0,0,0.0,0.0,0.0,169.93162760228222,12.137973400163016,6.5,4.5
M2_SHARED_OPEN_LOOP,23,16-32,1,1,1.0,0,0.0,0.0,0.0,283.07651350827393,2.9797527737713048,45.0,9.0
M2_SHARED_OPEN_LOOP,23,4-<8,1,1,1.0,0,0.0,0.0,0.0,64.88884726977356,2.7037019695738986,4.0,1.0
M2_SHARED_OPEN_LOOP,23,8-<16,1,1,1.0,0,0.0,0.0,0.0,200.99518029047363,3.8652919286629546,8.0,9.0
M2_SHARED_OPEN_LOOP,23,<4,1,1,1.0,0,0.0,0.0,0.0,181.06024549856326,12.932874678468805,7.0,5.0
M3_ORACLE_REFRESHED_SHARED,1,16-32,62,62,1.0,61,0.9838709677419355,0.7836399815504842,0.7972177159084817,10.856840703191114,0.10728118180850504,1.9193548387096775,2.6451612903225805
M3_ORACLE_REFRESHED_SHARED,1,4-<8,43,43,1.0,28,0.6511627906976745,0.5083094573166268,0.5147783251231527,7.458216945088149,0.3551531878613404,0.6511627906976745,1.5813953488372092
M3_ORACLE_REFRESHED_SHARED,1,8-<16,105,105,1.0,77,0.7333333333333333,0.5692368864750814,0.572463768115942,11.739356881873896,0.24234146091941336,0.6095238095238096,1.7904761904761906
M3_ORACLE_REFRESHED_SHARED,1,<4,8,8,1.0,0,0.0,0.23134767176919968,0.2338697984630999,10.273755777432246,0.7809551063405809,2.0,5.5
M3_ORACLE_REFRESHED_SHARED,1,>32,9,9,1.0,9,1.0,0.7711151070791685,0.7858273407292307,16.101242188104617,0.09415931104154747,1.4444444444444444,1.4444444444444444
M3_ORACLE_REFRESHED_SHARED,2,16-32,58,58,1.0,54,0.9310344827586207,0.6324475490284481,0.6457084477301875,21.42975398504457,0.21191816768125293,3.689655172413793,3.3620689655172415
M3_ORACLE_REFRESHED_SHARED,2,4-<8,41,41,1.0,0,0.0,0.264471780765713,0.26153846153846155,14.866068747318506,0.6927303107607693,1.1219512195121952,1.6829268292682926
M3_ORACLE_REFRESHED_SHARED,2,8-<16,97,97,1.0,13,0.13402061855670103,0.3368492799780504,0.32678705167679123,23.165167817220752,0.46383466716152427,0.9896907216494846,2.670103092783505
M3_ORACLE_REFRESHED_SHARED,2,<4,8,8,1.0,0,0.0,0.04076250091709713,0.014002794080003305,21.45526816026439,1.5121172181856763,3.75,5.625
M3_ORACLE_REFRESHED_SHARED,2,>32,8,8,1.0,6,0.75,0.5894491520055887,0.6211391801459896,32.13602097901315,0.1862682160777287,3.0,5.0
M3_ORACLE_REFRESHED_SHARED,3,16-32,54,54,1.0,31,0.5740740740740741,0.5192214238677015,0.5314789171056211,31.399893723405565,0.316609348336279,5.296296296296297,2.7777777777777777
M3_ORACLE_REFRESHED_SHARED,3,4-<8,39,39,1.0,0,0.0,0.12481449949858134,0.11332007952286283,22.80350850198276,1.03947047394967,1.3333333333333333,1.7179487179487178
M3_ORACLE_REFRESHED_SHARED,3,8-<16,89,89,1.0,3,0.033707865168539325,0.19612863923997556,0.17497812773403323,34.73110997362451,0.6729091319518498,1.4382022471910112,3.134831460674157
M3_ORACLE_REFRESHED_SHARED,3,<4,8,8,1.0,0,0.0,0.015491876112581557,0.0,31.918320761439848,2.2560344684680094,5.75,6.0
M3_ORACLE_REFRESHED_SHARED,3,>32,7,7,1.0,2,0.2857142857142857,0.4114239186632327,0.49271137026239065,48.15664543964831,0.2767623301129213,4.285714285714286,16.428571428571427
M3_ORACLE_REFRESHED_SHARED,4,16-32,51,51,1.0,8,0.1568627450980392,0.42027454019245747,0.43383775173512346,41.92329304813733,0.4198288341693553,6.686274509803922,3.4313725490196076
M3_ORACLE_REFRESHED_SHARED,4,4-<8,37,37,1.0,0,0.0,0.05147180110217212,0.022794846382556987,29.910282512875067,1.3854606215215386,1.5675675675675675,1.972972972972973
M3_ORACLE_REFRESHED_SHARED,4,8-<16,81,81,1.0,0,0.0,0.11242226649538864,0.08458251373533202,46.10992301012874,0.8709529423440613,1.8518518518518519,3.54320987654321
M3_ORACLE_REFRESHED_SHARED,4,<4,8,8,1.0,0,0.0,0.0,0.0,42.52176408633747,2.953968106430616,6.0,6.125
M3_ORACLE_REFRESHED_SHARED,4,>32,5,5,1.0,0,0.0,0.31852208864330345,0.39184376253036773,63.1293315345569,0.36281225019860286,5.4,19.6
M3_ORACLE_REFRESHED_SHARED,5,16-32,48,48,1.0,0,0.0,0.3384123663025838,0.34301582469580066,51.940270018676046,0.5255049791022375,7.833333333333333,4.020833333333333
M3_ORACLE_REFRESHED_SHARED,5,4-<8,35,35,1.0,0,0.0,0.018694020513387744,0.0,36.52738698565776,1.6603357720753529,1.7142857142857142,2.0285714285714285
M3_ORACLE_REFRESHED_SHARED,5,8-<16,74,74,1.0,0,0.0,0.06192948557234354,0.025638796908301027,57.29108080422955,1.0505776317322861,2.3378378378378377,4.027027027027027
M3_ORACLE_REFRESHED_SHARED,5,<4,8,8,1.0,0,0.0,0.0,0.0,52.71779147797896,3.7252316370751446,6.25,6.5
M3_ORACLE_REFRESHED_SHARED,5,>32,3,3,1.0,0,0.0,0.31340782920381943,0.31438299397441927,76.95006497723053,0.44224175274270416,7.0,8.0
M3_ORACLE_REFRESHED_SHARED,6,16-32,45,45,1.0,0,0.0,0.2695329497094609,0.2776226515218517,61.780356910590925,0.6273983204005003,8.733333333333333,4.644444444444445
M3_ORACLE_REFRESHED_SHARED,6,4-<8,33,33,1.0,0,0.0,0.004728539708426317,0.0,42.07730979993849,2.00368141904469,1.9393939393939394,2.212121212121212
M3_ORACLE_REFRESHED_SHARED,6,8-<16,67,67,1.0,0,0.0,0.03508944671980197,0.0,68.50045620286043,1.2401095234428026,2.8358208955223883,4.507462686567164
M3_ORACLE_REFRESHED_SHARED,6,<4,8,8,1.0,0,0.0,0.0,0.0,61.59798983531682,4.455859964082418,6.375,6.625
M3_ORACLE_REFRESHED_SHARED,6,>32,2,2,1.0,0,0.0,0.24432216096851192,0.24432216096851192,92.29267332287114,0.5288775534653998,8.5,9.5
M3_ORACLE_REFRESHED_SHARED,7,16-32,42,42,1.0,0,0.0,0.20998640119945655,0.21630291601595025,70.68522958043667,0.7324192390272033,9.642857142857142,5.285714285714286
M3_ORACLE_REFRESHED_SHARED,7,4-<8,31,31,1.0,0,0.0,0.001247582148733552,0.0,45.793694980859534,2.180652141945692,2.161290322580645,2.3870967741935485
M3_ORACLE_REFRESHED_SHARED,7,8-<16,60,60,1.0,0,0.0,0.020769538800296104,0.0,80.06928465661744,1.4203944202724659,3.2,5.05
M3_ORACLE_REFRESHED_SHARED,7,<4,8,8,1.0,0,0.0,0.0,0.0,70.46764877593841,5.110815006817478,6.75,6.875
M3_ORACLE_REFRESHED_SHARED,7,>32,1,1,1.0,0,0.0,0.18546791065875035,0.18546791065875035,107.61069881754322,0.6149182789573898,10.0,11.0
M3_ORACLE_REFRESHED_SHARED,8,16-32,39,39,1.0,0,0.0,0.15755226331376695,0.16522005991020142,78.46217241448264,0.8375362761629427,10.461538461538462,5.897435897435898
M3_ORACLE_REFRESHED_SHARED,8,4-<8,28,28,1.0,0,0.0,0.00048592024769997754,0.0,46.79610816229953,2.2283861029666445,1.6428571428571428,2.5357142857142856
M3_ORACLE_REFRESHED_SHARED,8,8-<16,54,54,1.0,0,0.0,0.010784468755914059,0.0,88.58623405556838,1.618055343459122,3.6481481481481484,5.62962962962963
M3_ORACLE_REFRESHED_SHARED,8,<4,8,8,1.0,0,0.0,0.0,0.0,78.79284031281595,5.732124969557825,7.0,7.125
M3_ORACLE_REFRESHED_SHARED,9,16-32,35,35,1.0,0,0.0,0.11264452714542679,0.11879122737779782,86.40167822444191,0.9516460294086537,11.314285714285715,5.514285714285714
M3_ORACLE_REFRESHED_SHARED,9,4-<8,26,26,1.0,0,0.0,0.0,0.0,50.86981229620878,2.3690546698705925,1.8846153846153846,2.8076923076923075
