model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,19,8-<16,8,8,1.0,0,0.0,0.0,0.0,196.69002835142294,164.63969963451612,3.3650514768715523,9.25,82.25
CV,20,16-32,5,5,1.0,0,0.0,0.0,0.0,278.86586110014684,197.03108891745993,1.7920393295566048,42.6,196.4
CV,20,4-<8,8,8,1.0,0,0.0,0.0,0.0,180.0605873560034,179.00352321225324,9.73146283816369,7.375,9.25
CV,20,8-<16,6,6,1.0,0,0.0,0.0,0.0,224.54255627379914,175.9224698473493,3.6637581723423933,10.166666666666666,113.33333333333333
CV,21,16-32,3,3,1.0,0,0.0,0.0,0.0,208.10431324097513,207.61803871532936,1.8874367155939034,52.666666666666664,10.0
CV,21,4-<8,6,6,1.0,0,0.0,0.0,0.0,197.1816583947964,195.30702882423128,11.218278783222829,8.666666666666666,8.5
CV,21,8-<16,4,4,1.0,0,0.0,0.0,0.0,266.56968613917877,190.3240943936433,6.755773326674374,9.25,176.5
CV,22,16-32,2,2,1.0,0,0.0,0.0,0.0,224.13345513944242,224.13345513944242,2.2019501269827964,71.5,11.5
CV,22,4-<8,4,4,1.0,0,0.0,0.0,0.0,217.31227583541306,215.3845060073877,12.372888653959942,11.25,6.25
CV,22,8-<16,2,2,1.0,0,0.0,0.0,0.0,369.4582057841114,369.4582057841114,7.206989076261265,11.5,333.0
CV,23,16-32,1,1,1.0,0,0.0,0.0,0.0,240.96732143591586,240.96732143591586,2.5364981203780617,68.0,9.0
CV,23,4-<8,2,2,1.0,0,0.0,0.0,0.0,236.92129344725714,236.92129344725714,13.403572833205043,5.5,3.0
CV,23,8-<16,1,1,1.0,0,0.0,0.0,0.0,576.7531967835115,576.7531967835115,11.091407630452144,8.0,681.0
S_FIXED,1,16-32,63,63,1.0,63,1.0,0.9146662894922151,0.9178932351993596,4.971153233086505,3.7022397254164794,0.042351520604081795,1.9523809523809523,3.222222222222223
S_FIXED,1,4-<8,42,42,1.0,41,0.9761904761904762,0.8042336098030683,0.8178655279378433,2.3752285417622567,2.074111746500021,0.10163982284580533,0.6190476190476191,0.40476190476190477
S_FIXED,1,8-<16,108,108,1.0,106,0.9814814814814815,0.819174487024444,0.8213352152630276,4.414088617832724,3.9833670260679828,0.07979245176818102,0.7129629629629632,1.750000000000001
