model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_SCALE,4,182,182,1.0,116,0.6373626373626373,0.5741995429960226,0.5887837130369875,13.746114359095607,12.98968807273635,0.2513372399065156,2.0974759777260226,3.872208700458241
S_SCALE,5,168,168,1.0,92,0.5476190476190477,0.5197341041453389,0.5469301451191177,16.17501169807063,15.959997099593608,0.2933163868341911,2.3545995473854306,3.966128345038305
S_SCALE,6,155,155,1.0,76,0.49032258064516127,0.47173570808438187,0.48437461164318624,18.70455757073881,17.857587970190302,0.3441812357607411,2.552193815286756,4.526795874160558
S_SCALE,7,142,142,1.0,60,0.4225352112676056,0.4311144547173506,0.4614172739292887,21.03319920803035,19.6458457620813,0.36696892180592716,2.627163700768686,5.075061858405815
S_SCALE,8,129,129,1.0,43,0.3333333333333333,0.3955424396155008,0.4150218163307872,23.115633536689373,21.900516518721574,0.4090697306634286,2.662881564793762,5.753604604245468
S_SCALE,9,117,117,1.0,32,0.27350427350427353,0.3611622338192625,0.3697176370725991,25.308088648845736,23.716291997432617,0.4523038044904881,2.5491558622334343,5.962251846990226
S_SCALE,10,106,106,1.0,24,0.22641509433962265,0.3287583330236205,0.34711526966397244,27.77220017493808,25.988088679911577,0.48794982867118064,2.7474926671871662,5.29549714883328
S_SCALE,11,96,96,1.0,16,0.16666666666666666,0.3019812489279274,0.31684328864208927,30.03074459279793,28.77838328990853,0.521143514750153,2.9458860172498986,5.883403584580133
S_SCALE,12,86,86,1.0,9,0.10465116279069768,0.279116104343241,0.2781381870134866,32.22893171142644,30.896081267990837,0.5541259471012296,3.2845567657409735,6.177138817694512
S_SCALE,13,77,77,1.0,5,0.06493506493506493,0.25492007083955476,0.2515391374121499,34.66194619140779,33.557584789342,0.5942341153456233,3.626454256538961,6.71422930652124
S_SCALE,14,68,68,1.0,4,0.058823529411764705,0.23320790359446325,0.22651549117884354,37.0835984676389,35.79487386539603,0.6227216975310335,4.0420816207605546,7.26285772750738
S_SCALE,15,59,59,1.0,3,0.05084745762711865,0.21424173980522965,0.1981516836525123,39.45661353757301,37.65731024634295,0.6955972322013714,4.622436467239059,7.890929659217011
S_SCALE,16,50,50,1.0,3,0.06,0.19750241021265322,0.17557392768832267,41.84508696619364,41.02156804254848,0.7485197907971717,5.359870874215317,8.524434578674253
S_SCALE,17,41,41,1.0,2,0.04878048780487805,0.18117766161216378,0.1390831516903035,44.18537751882067,43.27719222505402,0.8388859340994003,6.395802069271717,9.30785624186968
S_SCALE,18,32,32,1.0,2,0.0625,0.16640239876340032,0.13376143492669967,47.21869091786618,43.17014268214255,0.9337555773016608,7.799138783451063,8.390538666361103
S_SCALE,19,25,25,1.0,1,0.04,0.15584409144696415,0.11506272224294152,50.18181706964021,43.523641397483,0.9214593129758134,9.969005498045409,7.83112023317155
S_SCALE,20,19,19,1.0,0,0.0,0.1436104775629147,0.0943403378311972,52.612794359760024,44.48362922544051,0.9722367118707901,12.078387305583826,8.890015740139294
S_SCALE,21,13,13,1.0,0,0.0,0.13610508568420968,0.06629012602057455,54.535062795577495,45.8298838790589,1.2508573830784482,14.698759780836745,10.6102435350799
