model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_FIXED,11,16-32,29,29,1.0,11,0.3793103448275862,0.4551024100923271,0.45356148910646377,37.55947633172061,37.234069519928596,0.38466737633270653,13.068965517241379,6.6551724137931
S_FIXED,11,4-<8,22,22,1.0,1,0.045454545454545456,0.1776659091507637,0.18260810871301164,20.969747057101372,19.29793350693172,0.8654327687220515,2.3181818181818183,3.409090909090909
S_FIXED,11,8-<16,38,38,1.0,1,0.02631578947368421,0.24581215055809902,0.2548110492677546,30.811673346941227,29.849652682564788,0.5343612440630257,4.973684210526316,4.631578947368415
S_FIXED,11,<4,7,7,1.0,0,0.0,0.10169580853946711,0.08876419361755576,23.078377835529526,21.98158039218335,1.5701128851559536,3.7142857142857144,8.571428571428571
S_FIXED,12,16-32,26,26,1.0,6,0.23076923076923078,0.4277214235560009,0.42924527733744045,40.851200009293706,39.62445142106822,0.4130602561681995,13.884615384615385,7.153846153846154
S_FIXED,12,4-<8,19,19,1.0,0,0.0,0.1672517701454665,0.16036583810658478,21.02889086882501,19.193583086371458,0.834503612450933,2.526315789473684,3.0526315789473744
S_FIXED,12,8-<16,34,34,1.0,0,0.0,0.21502500805582425,0.2314008963719334,33.451336895344504,32.2623978762893,0.5803829734779564,5.411764705882353,4.9999999999999964
S_FIXED,12,<4,7,7,1.0,0,0.0,0.08251500507941745,0.06397092152989335,24.6660779988071,23.08991492576941,1.6492796375549579,3.857142857142857,8.571428571428571
S_FIXED,13,16-32,23,23,1.0,4,0.17391304347826086,0.40317547485873645,0.408731523495859,44.302859516312736,42.505370863378914,0.4316299308857654,14.826086956521738,7.6521739130434785
S_FIXED,13,4-<8,17,17,1.0,0,0.0,0.1509377161942194,0.14945322500665173,22.233371432431312,20.467595250214462,0.8898954456614984,2.823529411764706,3.3529411764705883
S_FIXED,13,8-<16,30,30,1.0,0,0.0,0.18669194612487372,0.19209740466485137,36.20438405864838,35.17258933015006,0.6347721224671092,5.8,5.433333333333326
S_FIXED,13,<4,7,7,1.0,0,0.0,0.06241029708487262,0.03161072347355059,26.557893107488976,27.703771161208287,1.8796925458936902,4.0,8.857142857142858
S_FIXED,14,16-32,20,20,1.0,2,0.1,0.3825764998375352,0.3735904743370434,47.93538239031053,47.036257036942835,0.4688894459859546,15.75,8.1
S_FIXED,14,4-<8,15,15,1.0,0,0.0,0.1414419262384281,0.13309001825522748,23.18389775549453,21.51644873626792,0.9354977711420835,2.933333333333333,3.6666666666666665
S_FIXED,14,8-<16,26,26,1.0,0,0.0,0.16107341293336871,0.14917003144652868,38.989279779226614,35.92193257654512,0.7064842056593236,6.230769230769231,6.0
S_FIXED,14,<4,7,7,1.0,0,0.0,0.036920780705778665,0.012460933312659838,28.78532962870364,28.955170178218136,1.99172569684417,4.142857142857143,8.857142857142858
S_FIXED,15,16-32,17,17,1.0,2,0.11764705882352941,0.3648489434432101,0.3586055034769189,51.85075702970601,51.47343253048066,0.509201828221693,16.58823529411765,8.352941176470594
