model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,9,condor,1,1,1.0,0,0.0,0.4073226544622426,0.4073226544622426,21.224985276791124,21.224985276791124,0.5442303917125929,5.0,143.0
CV,9,helicopter,9,9,1.0,0,0.0,0.3592972037005639,0.36763738563654846,42.49401605744482,43.57177985806869,0.44892734783098975,4.444444444444445,11.0
CV,9,jammer,3,3,1.0,0,0.0,0.0,0.0,47.71837429956608,50.53958844312051,1.4864584836211914,2.3333333333333335,11.333333333333334
CV,9,jet_plane,12,12,1.0,0,0.0,0.362172977350121,0.3859495882773761,53.171152545982494,36.11262574372677,0.45058695027693285,4.833333333333333,40.583333333333336
CV,9,large_launcher,15,15,1.0,0,0.0,0.4238793559267634,0.4257222073159825,43.44884272267323,42.573465914816005,0.38012023138228573,18.733333333333334,5.8
CV,9,large_tower,9,9,1.0,0,0.0,0.19357839332780594,0.21144139091418956,58.999581758443114,38.46101922726437,0.6345448273102264,5.444444444444445,46.22222222222222
CV,9,small_launcher,15,15,1.0,0,0.0,0.0,0.0,39.35143876897179,37.030392922571046,1.7633520439319545,3.8666666666666667,1.6
CV,9,small_tower,10,10,1.0,0,0.0,0.10890512822184714,0.10903930065073301,44.31640784060774,44.53611588034173,0.7816222826465267,5.5,7.5
CV,9,spacecraft,13,13,1.0,0,0.0,0.05878825656882092,0.08097538532321141,43.11975466251358,41.07614879708174,0.9448916593630639,4.6923076923076925,5.769230769230769
CV,9,ta-ta,15,15,1.0,0,0.0,0.0,0.0,40.62611542573849,41.00304866714181,2.5626905416963632,4.066666666666666,6.333333333333333
CV,9,tank,15,15,1.0,0,0.0,0.12601575469743811,0.13503937007874015,46.20586560267752,38.08214804865923,0.7619654980650804,4.2,22.0
CV,10,helicopter,8,8,1.0,0,0.0,0.283361822444403,0.2825225250978013,52.41195363434291,53.636482457669345,0.5495967451436016,4.625,10.5
CV,10,jammer,2,2,1.0,0,0.0,0.0,0.0,58.79426372508334,58.79426372508334,1.9043153546445208,2.5,7.5
CV,10,jet_plane,11,11,1.0,0,0.0,0.28340185518104916,0.30916245081506466,64.88226972818846,44.54492114708477,0.5499372981121576,5.181818181818182,48.18181818181818
CV,10,large_launcher,14,14,1.0,0,0.0,0.34217634850208284,0.3455392245261624,52.82758794789067,51.88053617827612,0.46165281445800543,20.214285714285715,6.571428571428571
CV,10,large_tower,8,8,1.0,0,0.0,0.11544603250056057,0.12123483541628521,72.4509644152134,47.01228425549844,0.777157762969964,6.25,57.625
CV,10,small_launcher,14,14,1.0,0,0.0,0.0,0.0,48.072528792936644,45.26799037185267,2.06139294175635,3.9285714285714284,1.8571428571428572
CV,10,small_tower,9,9,1.0,0,0.0,0.033435067283379666,0.03787375415282392,53.61207637157199,55.58102194094671,0.9937090516272529,6.666666666666667,8.666666666666666
CV,10,spacecraft,12,12,1.0,0,0.0,0.006202992944095526,0.0,52.36036497827494,50.65672160161063,1.1195595119578112,4.833333333333333,4.5
CV,10,ta-ta,14,14,1.0,0,0.0,0.0,0.0,49.30933147031421,49.568012342677974,3.1587237330198037,4.142857142857143,6.714285714285714
CV,10,tank,14,14,1.0,0,0.0,0.0468185822511894,0.04102976193714647,56.12591332230029,46.54425186594131,0.9265869454867547,4.857142857142857,25.714285714285715
CV,11,helicopter,7,7,1.0,0,0.0,0.20696489822758232,0.20359598096245374,62.38082083757138,64.65678618675692,0.6533800242278417,5.285714285714286,13.714285714285714
CV,11,jammer,1,1,1.0,0,0.0,0.0,0.0,66.54697588921678,66.54697588921678,2.376677710329171,3.0,27.0
CV,11,jet_plane,10,10,1.0,0,0.0,0.20728753014257767,0.22438836301654796,77.89715152197509,52.803745239460156,0.6519691847798362,5.8,57.3
CV,11,large_launcher,13,13,1.0,0,0.0,0.26777362754569284,0.26984572230014026,62.93695568416903,62.30770417853638,0.551395612199437,20.23076923076923,7.153846153846154
CV,11,large_tower,7,7,1.0,0,0.0,0.04953493508742816,0.03798297314996726,88.08019451776464,56.39592183837409,0.9245233088258048,6.857142857142857,72.14285714285714
CV,11,small_launcher,13,13,1.0,0,0.0,0.0,0.0,57.61615903603824,54.037024344425184,2.3916995720826204,4.615384615384615,2.0
CV,11,small_tower,8,8,1.0,0,0.0,0.0,0.0,65.0991837270231,64.80114176043932,1.1909399039409745,6.875,9.75
CV,11,spacecraft,11,11,1.0,0,0.0,0.0,0.0,62.83143209267664,61.10032733136542,1.3282679854644657,5.090909090909091,6.2727272727272725
CV,11,ta-ta,13,13,1.0,0,0.0,0.0,0.0,59.17857785694907,58.67282164682384,3.8275828697756498,4.615384615384615,7.769230769230769
CV,11,tank,13,13,1.0,0,0.0,0.008016085944922152,0.0,66.95631878614489,55.682133579811754,1.120089282155668,5.153846153846154,30.076923076923077
CV,12,helicopter,6,6,1.0,0,0.0,0.1301069230907651,0.13011354073428044,73.11788633633013,76.57347155790495,0.7708653099057146,4.666666666666667,13.666666666666666
