model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_RES_CV,17,0,30,30,1.0,1,0.03333333333333333,0.13158737520379216,0.07743980454926079,39.346736496822444,32.7803125544165,0.9607495507402418,7.333333333333333,7.866666666666666
S_RES_CV,17,1,11,11,1.0,0,0.0,0.062094004139222926,0.028450394515766527,164.59880390103444,110.5753698514158,1.0500211038842628,24.272727272727273,201.8181818181818
S_RES_CV,18,0,23,23,1.0,0,0.0,0.12901124246066925,0.046390186052548174,36.75277563795064,33.894191897448685,1.0932869016795335,7.043478260869565,9.217391304347826
S_RES_CV,18,1,9,9,1.0,0,0.0,0.017471337359487638,0.014447323522651769,163.89961017592233,118.06652864264862,1.264059868419335,27.0,167.66666666666666
S_RES_CV,19,0,17,17,1.0,1,0.058823529411764705,0.10885400282462664,0.0,35.48844863413698,35.61426030540172,1.5013220240145473,8.294117647058824,9.647058823529411
S_RES_CV,19,1,8,8,1.0,0,0.0,0.013898991857575923,0.010213119401910012,187.08552410884977,127.61640771168082,1.23556135204345,29.375,194.0
S_RES_CV,20,0,12,12,1.0,1,0.08333333333333333,0.1227426055912242,0.0,35.779248916062095,39.24173538708974,1.9987373333396126,8.333333333333334,10.083333333333334
S_RES_CV,20,1,7,7,1.0,0,0.0,0.006073261317477126,0.0041433886410715244,208.67264752903085,134.93293566784155,1.4137404450070168,33.285714285714285,230.71428571428572
S_RES_CV,21,0,8,8,1.0,1,0.125,0.09710836256398307,0.0,39.78406943658376,42.709455802326914,2.2479952766477767,9.125,9.125
S_RES_CV,21,1,5,5,1.0,0,0.0,0.02429894661614423,0.0,164.3710706038256,141.44722627434533,1.4889181713088981,34.8,142.8
S_RES_CV,22,0,5,5,1.0,1,0.2,0.10449776063621871,0.0,43.53423138702745,48.587960201634786,2.3715892943497265,12.0,7.8
S_RES_CV,22,1,3,3,1.0,0,0.0,0.0,0.0,229.9899461956007,153.8291060335181,1.4917832606755035,50.333333333333336,225.00000000000003
S_RES_CV,23,0,2,2,1.0,0,0.0,0.0,0.0,54.24300898812081,54.24300898812081,3.055984627934831,5.5,3.0
S_RES_CV,23,1,2,2,1.0,0,0.0,0.0,0.0,289.88663065415534,289.88663065415534,4.880902334925883,38.0,345.0
S_RES_SCALE,1,0,204,204,1.0,204,1.0,0.9320107811008396,0.9478799532301316,1.2328947951001512,1.0595468033701534,0.020011385351950087,0.506076307488981,0.6280223725362587
S_RES_SCALE,1,1,23,23,1.0,21,0.9130434782608695,0.7673557708205547,0.8839559191029387,11.269924359918802,7.897937805637897,0.18702602967414206,5.3007706301740924,16.331500305986925
S_RES_SCALE,2,0,189,189,1.0,186,0.9841269841269841,0.8767765880799586,0.9139521419917369,2.4997759781464493,1.8446749403117944,0.03563473609422874,0.4658471712558462,0.9180272262961668
S_RES_SCALE,2,1,23,23,1.0,15,0.6521739130434783,0.6673995692836366,0.8142792038315342,21.018703653677395,15.587653217624219,0.35588719930688056,8.911626177033991,19.767978445036764
S_RES_SCALE,3,0,175,175,1.0,168,0.96,0.8154772297243564,0.8614145187897146,4.08906586722123,3.2162889548748548,0.0646759326604161,0.5257142370263299,1.1958543355439897
S_RES_SCALE,3,1,22,22,1.0,14,0.6363636363636364,0.58722146510059,0.7648301862080638,29.373942566893778,21.04460757597839,0.5607326299608213,11.88383620212803,20.88802340972092
S_RES_SCALE,4,0,162,162,1.0,148,0.9135802469135802,0.7544946391990168,0.8121881403282745,6.046351703967324,4.929899560915571,0.09403391182697886,0.5748533558505635,1.5713463770381486
S_RES_SCALE,4,1,20,20,1.0,13,0.65,0.5662335564014472,0.7307668548212772,33.24538864575538,21.0771298682786,0.5982827289232855,14.43071921491728,22.509193520160984
S_RES_SCALE,5,0,150,150,1.0,128,0.8533333333333334,0.7009084990312124,0.750719045834686,8.136380355226075,6.418700719854014,0.12566915918285526,0.6184972252856983,1.901324429765662
S_RES_SCALE,5,1,18,18,1.0,13,0.7222222222222222,0.5736020436455552,0.7432855766366455,37.041799910418405,22.475461242311233,0.45271826667707804,16.822118898216598,21.17282763897697
S_RES_SCALE,6,0,138,138,1.0,109,0.7898550724637681,0.6524250300528586,0.6974856242711645,10.029316458518824,8.071111319309919,0.16376342586211923,0.6653077478651788,2.299273538934839
S_RES_SCALE,6,1,17,17,1.0,11,0.6470588235294118,0.5232349435356607,0.6194719717909869,43.336888258712605,23.900855212555616,0.4221754233858728,17.86926895082661,22.60903600716931
S_RES_SCALE,7,0,126,126,1.0,83,0.6587301587301587,0.5943997611925368,0.6306974045162537,12.499550082836608,10.435962264565399,0.21312877426598026,0.6492328886513812,2.6203235466211727
S_RES_SCALE,7,1,16,16,1.0,9,0.5625,0.4897047194956028,0.6196132017701799,51.31058099890051,24.805497412191244,0.5869590179092026,18.203368846192475,24.406126063709895
S_RES_SCALE,8,0,114,114,1.0,67,0.5877192982456141,0.5398188208997745,0.5637959731389053,14.851863275481804,12.825278174036224,0.2545972544565685,0.7010466525421688,3.0478351192480755
S_RES_SCALE,8,1,15,15,1.0,9,0.6,0.46477445590474653,0.5173356030412344,58.93130038258399,31.303548094512546,0.38221301949574704,17.572826897905877,26.31745269022561
S_RES_SCALE,9,0,104,104,1.0,50,0.4807692307692308,0.48513222324551014,0.48982101123047583,17.707979192260247,15.333957938383806,0.3345803384708203,0.7447429362672,3.414365799761254
S_RES_SCALE,9,1,13,13,1.0,7,0.5384615384615384,0.4374838087263567,0.5233199220983977,63.28424132440937,28.585271751268927,0.3380504481654206,16.98445926996328,26.345340224821964
