model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_RES_CV,18,41,32,0.7804878048780488,0,0.0,0.09764064415096191,0.01975656249232663,72.51282285175517,38.791135815817555,1.1144555085206458,12.65625,53.78125
S_RES_CV,19,32,25,0.78125,1,0.04,0.07846839931517041,0.0,83.99951278604505,41.82320279539699,1.299138306372964,15.04,68.64
S_RES_CV,20,25,19,0.76,1,0.05263157894736842,0.07975916296405422,0.0,99.47681682610319,43.130763569471924,1.863863606594325,17.526315789473685,91.36842105263158
S_RES_CV,21,19,13,0.6842105263157895,1,0.07692307692307693,0.06910474104558352,0.0,87.70214680859984,46.12241728959396,2.187595457806405,19.0,60.53846153846154
S_RES_CV,22,13,8,0.6153846153846154,1,0.125,0.0653111003976367,0.0,113.45512444024243,53.189788601367056,2.2420546515582283,26.375,89.25000000000001
S_RES_CV,23,8,4,0.5,0,0.0,0.0,0.0,172.0648198211381,107.21312359871436,3.055984627934831,21.75,174.0
S_RES_CV,24,4,0,0.0,0,,,,,,,,
S_RES_SCALE,1,243,227,0.934156378600823,225,0.9911894273127754,0.9153276743323525,0.9443935698959902,2.2498625483637147,1.1587058099031118,0.021911048704194434,0.9918823401839483,2.21912366094756
S_RES_SCALE,2,227,212,0.933920704845815,201,0.9481132075471698,0.854061156795452,0.909810417572859,4.5089049240766945,2.036153185349659,0.042003102044633076,1.382134516222343,2.9630691038010424
S_RES_SCALE,3,212,197,0.9292452830188679,182,0.9238578680203046,0.7899867382435296,0.8514047785515999,6.912757681397858,3.4190152119125723,0.06970682656083768,1.7941339488650985,3.3949798159089264
S_RES_SCALE,4,197,182,0.9238578680203046,161,0.8846153846153846,0.7338066081223609,0.8026332791089215,9.035256862405571,5.421065816547767,0.10322772484129403,2.097475977726027,3.8722087004582404
S_RES_SCALE,5,182,168,0.9230769230769231,141,0.8392857142857143,0.6872685216684634,0.750719045834686,11.233389593282398,7.019239913318432,0.14484050343315463,2.3545995473854373,3.966128345038302
S_RES_SCALE,6,168,155,0.9226190476190477,120,0.7741935483870968,0.6382557947574239,0.6935504547654071,13.68240497854008,8.94646774556713,0.18361626196882053,2.552193815286755,4.5267958741605545
S_RES_SCALE,7,155,142,0.9161290322580645,92,0.647887323943662,0.5826031367759807,0.6306974045162537,16.87262398887198,11.123064090865359,0.22927311205747702,2.6271637007686874,5.075061858405818
S_RES_SCALE,8,142,129,0.9084507042253521,76,0.5891472868217055,0.5310927319468641,0.5631233114285547,19.977379218168107,13.231184505241442,0.2666433396249889,2.662881564793763,5.753604604245464
S_RES_SCALE,9,129,117,0.9069767441860465,57,0.48717948717948717,0.47983795496560433,0.4938279435774052,22.772008318054596,17.17847353275921,0.3380504481654206,2.549155862233431,5.962251846990222
S_RES_SCALE,10,117,106,0.905982905982906,38,0.3584905660377358,0.42200185399767864,0.43698856888475157,26.79852037769072,18.863342239653626,0.4034092464037604,2.7474926671871684,5.295497148833281
S_RES_SCALE,11,106,96,0.9056603773584906,32,0.3333333333333333,0.3744075222848795,0.3694472432678795,31.271738558661713,22.539923348455513,0.4715711882689113,2.9458860172498995,5.883403584580129
S_RES_SCALE,12,96,86,0.8958333333333334,18,0.20930232558139536,0.3283215408791574,0.323705288657533,36.36203724466944,23.938677639105414,0.5193031749933568,3.284556765740976,6.177138817694507
S_RES_SCALE,13,86,77,0.8953488372093024,12,0.15584415584415584,0.2776465002511819,0.2592888075699323,42.36841620002977,28.555589412550976,0.5864275401906679,3.6264542565389717,6.714229306521244
S_RES_SCALE,14,77,68,0.8831168831168831,10,0.14705882352941177,0.24124374561991702,0.21602521777546102,48.35660572853043,31.78225578023843,0.6977050666633394,4.042081620760556,7.26285772750739
S_RES_SCALE,15,68,59,0.8676470588235294,5,0.0847457627118644,0.19507506677869338,0.17053077041145503,55.92811393466994,33.262880108714015,0.7994180326540549,4.622436467239056,7.890929659217007
S_RES_SCALE,16,59,50,0.847457627118644,1,0.02,0.14863122590512223,0.11210790175940438,65.3701284363019,38.67538093495578,0.8938828367889279,5.359870874215319,8.524434578674265
S_RES_SCALE,17,50,41,0.82,1,0.024390243902439025,0.12412390483386466,0.07531200169452588,72.95094970283053,39.158489184508774,0.998928478956349,6.395802069271712,9.30785624186968
S_RES_SCALE,18,41,32,0.7804878048780488,1,0.03125,0.1035435684381924,0.0333619506223483,72.51282285175517,38.791135815817555,1.1144555085206458,7.799138783451063,8.390538666361124
S_RES_SCALE,19,32,25,0.78125,0,0.0,0.07812203885369838,0.0063556724469977285,83.99951278604505,41.82320279539699,1.299138306372964,9.969005498045409,7.83112023317156
S_RES_SCALE,20,25,19,0.76,1,0.05263157894736842,0.08513745761497656,0.0,99.47681682610319,43.130763569471924,1.863863606594325,12.078387305583826,8.890015740139294
S_RES_SCALE,21,19,13,0.6842105263157895,1,0.07692307692307693,0.06994411713859947,0.0,87.70214680859984,46.12241728959396,2.187595457806405,14.698759780836737,10.610243535079952
S_RES_SCALE,22,13,8,0.6153846153846154,0,0.0,0.06338581355966885,0.0,113.45512444024243,53.189788601367056,2.2420546515582283,18.11743022012881,7.609976451305641
S_RES_SCALE,23,8,4,0.5,0,0.0,0.0008505946324884928,0.0,172.0648198211381,107.21312359871436,3.055984627934831,19.853753851981025,7.860191862974688
S_RES_SCALE,24,4,0,0.0,0,,,,,,,,
S_SCALE,1,243,243,1.0,230,0.9465020576131687,0.8240225448214862,0.8605613792421754,4.788006174855953,3.620967214215341,0.07052235423454971,0.9584801343887536,2.9738854292175274
S_SCALE,2,227,227,1.0,205,0.9030837004405287,0.7130997378001633,0.7527814587351974,8.445655291923972,7.026696393854707,0.13392464440432028,1.3196404696951587,3.981283705579183
S_SCALE,3,212,212,1.0,159,0.75,0.6270683388917384,0.6618583747510931,11.704047232075505,10.403824472936197,0.19973708949579477,1.705093694457105,4.544116063782033
S_SCALE,4,197,197,1.0,121,0.6142131979695431,0.5591014466142471,0.5820256542879589,14.677238644128995,13.38687296798539,0.2630167445805429,1.980273143361053,5.079736035662757
S_SCALE,5,182,182,1.0,96,0.5274725274725275,0.5066311241142784,0.5327363534663381,17.18767365375632,16.347728582461734,0.30437836917903394,2.2296131237020997,5.233662789826548
S_SCALE,6,168,168,1.0,80,0.47619047619047616,0.46099070817516197,0.4827728243291429,19.39281322873654,17.97252034502367,0.34842001724659677,2.4169535297950695,5.1435872842917
S_SCALE,7,155,155,1.0,63,0.4064516129032258,0.41972780555879996,0.4398978143706137,21.962028838479696,20.58883798688009,0.4083799565661832,2.5796689854957573,5.745087924874563
S_SCALE,8,142,142,1.0,46,0.323943661971831,0.38351760413615893,0.4062681378711104,24.350525602733903,22.40505806647583,0.43846183049437026,2.6838476769231887,6.42686961773093
S_SCALE,9,129,129,1.0,35,0.2713178294573643,0.35262281515426364,0.3579459811784028,26.44726305675736,23.719206469663888,0.45321191139028155,2.7432361354509442,7.164232447815295
S_SCALE,10,117,117,1.0,26,0.2222222222222222,0.32162611221089593,0.3412944446799276,28.567480881887338,26.026973655377628,0.5046125112369919,2.592168952611866,7.238585599429803
S_SCALE,11,106,106,1.0,18,0.16981132075471697,0.2938529012773096,0.2982146453572144,31.081474677908965,29.104044866684433,0.5316218464970065,2.800188997772484,6.726022827108395
S_SCALE,12,96,96,1.0,11,0.11458333333333333,0.2704393476046113,0.2730803490347099,33.35334715163814,31.158310392708593,0.5573176927580894,3.0597595008447733,7.278392841940394
S_SCALE,13,86,86,1.0,6,0.06976744186046512,0.24906167246958155,0.24877222672322324,35.65975674933333,33.590355615883055,0.6268978278919839,3.3739679451622164,7.753398494758003
S_SCALE,14,77,77,1.0,5,0.06493506493506493,0.2269751103348212,0.22479951915081456,38.22454284211753,35.85842005118715,0.688048473830522,3.729679842601718,8.412753079714289
S_SCALE,15,68,68,1.0,3,0.04411764705882353,0.2077158491925798,0.1901281030200811,40.81694655771921,37.98691740964135,0.7024973727963904,4.194754037723014,9.14146621381371
S_SCALE,16,59,59,1.0,3,0.05084745762711865,0.19023298740979147,0.17355052112399524,43.47521861655957,41.25720470137567,0.7562266897569299,4.746454040252259,9.93944453828894
S_SCALE,17,50,50,1.0,2,0.04,0.17343821922184913,0.13641060394724527,46.21529174789659,44.037835992792225,0.8487128079273745,5.519386004392813,10.798680213096054
