model,image,raw_proposals,zero_proposals,score_p10,score_median,score_p90,score_max,count_conf_001,zero_conf_001,short_side_p10,short_side_median,short_side_p90,center_q_tl,center_q_tr,center_q_bl,center_q_br,count_top8,count_top16,count_top32,preprocess_ms,inference_ms,decode_nms_ms,total_ms
v3_standard,00060.png,173,0,0.004307013750076294,0.008829623460769653,0.07546923160552979,0.7991713285446167,78,0,8.878662109375,14.097091674804688,26.31444091796875,55,55,28,35,8,16,32,22.15069999510888,106.49999999441206,2.035299999988638,130.70609999704175
v3_standard,00065.png,164,0,0.004567113518714905,0.008165210485458374,0.04374503195285802,0.7077665328979492,69,0,9.560794067382812,15.69189453125,25.647335815429688,53,62,24,25,8,16,32,22.15960000467021,104.4811000028858,1.9245000003138557,128.58470001083333
v3_standard,00070.png,149,0,0.004782181978225708,0.010518074035644531,0.04074591398239138,0.2662566900253296,78,0,9.0055419921875,14.45281982421875,32.088232421875006,37,60,23,29,8,16,32,23.8688999961596,101.37649999524001,1.774499993189238,127.04039999516681
v3_standard,00075.png,152,0,0.005838894844055176,0.011768504977226257,0.07027580738067628,0.5303654670715332,89,0,9.504060363769531,15.418792724609375,32.972729492187504,36,51,29,36,8,16,32,23.912500008009374,101.99650000140537,1.9147999992128462,127.8432000108296
v3_standard,00080.png,164,0,0.0048262327909469604,0.009535819292068481,0.04911305308341987,0.33672553300857544,77,0,9.102866935729981,16.080322265625,31.24644899368288,35,41,43,45,8,16,32,23.680099999182858,103.12179999891669,1.9924999942304567,128.81680000282358
v3_standard,00085.png,166,0,0.004292234778404236,0.008114293217658997,0.04161404073238373,0.23998957872390747,70,0,8.405095100402832,15.079551696777344,30.487579345703125,39,25,37,65,8,16,32,22.44020000216551,100.33070000645239,1.823099999455735,124.61220000113826
v3_standard,00090.png,159,0,0.004245823621749878,0.007475912570953369,0.036228519678115856,0.272141695022583,62,0,9.04202880859375,15.5584716796875,32.64117431640627,48,31,32,48,8,16,32,22.60979999846313,97.96060000371654,1.7968000029213727,122.38620000425726
v3_standard,00095.png,151,0,0.0037868916988372803,0.007444709539413452,0.032303065061569214,0.34653377532958984,49,0,9.37677001953125,15.7530517578125,33.67979431152344,47,23,36,45,8,16,32,21.135500006494112,100.57969999616034,1.7246999923372641,123.45850000565406
v3_standard,00100.png,150,0,0.0035435646772384644,0.006678178906440735,0.031729209423065154,0.32392674684524536,55,0,9.473284912109374,16.225570678710938,37.075860595703126,68,28,30,24,8,16,32,22.307199993520044,97.319200009224,1.709200005279854,121.35489999491256
v3_standard,00105.png,151,0,0.004244625568389893,0.007543653249740601,0.04471105337142944,0.300875186920166,53,0,8.750364303588867,16.07965087890625,34.38232421875,53,18,43,37,8,16,32,22.351099993102252,100.93120000965428,1.78980000782758,125.09699999645818
v3_standard,00110.png,158,0,0.0030250459909439086,0.00609077513217926,0.021318989992141737,0.25319141149520874,43,0,7.546710205078125,13.88800048828125,34.11201782226563,21,16,76,45,8,16,32,22.101399998064153,99.49490000144579,1.7751999985193834,123.39429999701679
v3_standard,00115.png,175,0,0.0035570263862609863,0.005861073732376099,0.027670824527740473,0.34151333570480347,51,0,9.087329101562501,14.2530517578125,33.28570556640625,38,44,65,28,8,16,32,22.71580000524409,105.21280000102706,1.7939000099431723,129.74170000234153
v3_standard,00120.png,186,0,0.002451866865158081,0.0038880854845046997,0.015114590525627136,0.2594079375267029,32,0,8.594432830810547,13.94482421875,28.411165237426758,65,78,23,20,8,16,32,23.461499993572943,98.51209999760613,1.897499998449348,123.89049999183044
v3_standard,00125.png,180,0,0.002794870734214783,0.004954665899276733,0.02029052972793579,0.09092482924461365,44,0,8.713675689697265,14.124945640563965,27.966292762756346,68,70,18,24,8,16,32,23.28559999295976,99.75459999986924,1.859000010881573,124.91929999669082
v3_standard,00130.png,168,0,0.003738519549369812,0.006832286715507507,0.0220427006483078,0.1266181468963623,51,0,8.748416137695312,13.782402038574219,28.820938110351566,63,61,15,29,8,16,32,21.99609999661334,102.01420000521466,1.7706000071484596,125.80110000271816
v3_standard,00135.png,176,0,0.0037486255168914795,0.006733939051628113,0.024018526077270508,0.3963838219642639,53,0,8.98876953125,14.893829345703125,29.44189453125,72,43,27,34,8,16,32,21.817100001499057,99.5381999964593,1.899700000649318,123.27490000461694
v3_standard,00140.png,177,0,0.0040386438369750975,0.0072456300258636475,0.02862051129341127,0.30255457758903503,64,0,8.5774169921875,14.69647216796875,29.506146240234376,48,35,53,41,8,16,32,22.133299993583933,99.60509999655187,1.9107999978587031,123.66879999171942
v3_standard,00145.png,175,0,0.004316502809524536,0.00814482569694519,0.0364947736263275,0.3748502731323242,74,0,7.716619873046875,14.03443717956543,27.905957031249997,29,34,71,41,8,16,32,22.635899993474595,98.68249999999534,1.8800999969244003,123.21700000029523
v3_standard,00150.png,176,0,0.0034652650356292725,0.0067504942417144775,0.026634439826011658,0.23567652702331543,57,0,8.98004150390625,14.367149353027344,27.952880859375,32,39,75,30,8,16,32,21.953999996185303,95.32750000653323,1.8431999924359843,119.14330000581685
v3_standard,00155.png,198,0,0.00275246798992157,0.0047040581703186035,0.017491230368614198,0.16209480166435242,43,0,8.943170166015625,13.9730224609375,26.335559082031253,52,53,54,39,8,16,32,22.202199994353577,101.71050000644755,2.0961000118404627,126.02870000409894
v3_standard,00160.png,193,0,0.002780216932296753,0.005023092031478882,0.022187858819961572,0.19224819540977478,49,0,8.143852233886719,13.15423583984375,22.699951171875004,40,71,24,58,8,16,32,19.586900001741014,103.23310000239871,2.014099998632446,124.85429999651387
v3_standard,00165.png,198,0,0.0026729077100753782,0.004588425159454346,0.015572988986968996,0.12832817435264587,43,0,8.21148681640625,12.672073364257812,24.4875732421875,36,63,45,54,8,16,32,21.024200003012083,99.47479999391362,2.0197999983793125,122.53890000283718
v3_standard,00170.png,202,0,0.0034147709608078,0.005530744791030884,0.019817414879798895,0.1576932668685913,51,0,8.267263793945313,13.694610595703125,26.903173828125,33,63,61,45,8,16,32,22.37510000122711,99.75929999200162,2.045599991106428,124.19950000185054
v3_standard,00175.png,202,0,0.0028916597366333008,0.005129605531692505,0.02116375863552094,0.19967707991600037,49,0,7.93338623046875,13.365386962890625,27.328253173828127,43,32,51,76,8,16,32,22.988800003076904,98.08139999222476,2.0308999955886975,123.1192999985069
v3_standard,00180.png,172,0,0.003245052695274353,0.005941495299339294,0.03493514060974123,0.41991323232650757,51,0,8.143865966796875,13.1986083984375,26.59820556640625,29,36,33,74,8,16,32,23.59769999748096,99.29160001047421,2.136500013875775,125.05220000457484
