model_a,model_b,horizon,count,both_success,a_only,b_only,both_fail
S_RES_CV,A_FIXED,22,8,0,1,5,2
S_RES_CV,A_FIXED,23,4,0,0,2,2
S_RES_CV,A_RES_CV,1,227,227,0,0,0
S_RES_CV,A_RES_CV,2,212,203,2,3,4
S_RES_CV,A_RES_CV,3,197,177,4,4,12
S_RES_CV,A_RES_CV,4,182,156,6,7,13
S_RES_CV,A_RES_CV,5,168,136,4,14,14
S_RES_CV,A_RES_CV,6,155,112,5,23,15
S_RES_CV,A_RES_CV,7,142,85,7,28,22
S_RES_CV,A_RES_CV,8,129,64,8,37,20
S_RES_CV,A_RES_CV,9,117,48,6,35,28
S_RES_CV,A_RES_CV,10,106,29,9,38,30
S_RES_CV,A_RES_CV,11,96,21,7,35,33
S_RES_CV,A_RES_CV,12,86,13,3,35,35
S_RES_CV,A_RES_CV,13,77,8,2,32,35
S_RES_CV,A_RES_CV,14,68,6,3,29,30
S_RES_CV,A_RES_CV,15,59,2,1,26,30
S_RES_CV,A_RES_CV,16,50,0,0,20,30
S_RES_CV,A_RES_CV,17,41,1,0,14,26
S_RES_CV,A_RES_CV,18,32,0,0,10,22
S_RES_CV,A_RES_CV,19,25,1,0,6,18
S_RES_CV,A_RES_CV,20,19,1,0,4,14
S_RES_CV,A_RES_CV,21,13,1,0,4,8
S_RES_CV,A_RES_CV,22,8,1,0,2,5
S_RES_CV,A_RES_CV,23,4,0,0,1,3
A_FIXED,A_RES_CV,1,227,227,0,0,0
A_FIXED,A_RES_CV,2,212,205,6,1,0
A_FIXED,A_RES_CV,3,197,180,13,1,3
A_FIXED,A_RES_CV,4,182,160,13,3,6
A_FIXED,A_RES_CV,5,168,149,11,1,7
A_FIXED,A_RES_CV,6,155,135,12,0,8
A_FIXED,A_RES_CV,7,142,110,21,3,8
A_FIXED,A_RES_CV,8,129,98,19,3,9
A_FIXED,A_RES_CV,9,117,79,27,4,7
A_FIXED,A_RES_CV,10,106,62,29,5,10
A_FIXED,A_RES_CV,11,96,51,30,5,10
A_FIXED,A_RES_CV,12,86,45,28,3,10
A_FIXED,A_RES_CV,13,77,37,26,3,11
A_FIXED,A_RES_CV,14,68,32,23,3,10
A_FIXED,A_RES_CV,15,59,24,21,4,10
A_FIXED,A_RES_CV,16,50,16,19,4,11
A_FIXED,A_RES_CV,17,41,11,18,4,8
A_FIXED,A_RES_CV,18,32,8,15,2,7
A_FIXED,A_RES_CV,19,25,5,13,2,5
A_FIXED,A_RES_CV,20,19,3,10,2,4
A_FIXED,A_RES_CV,21,13,3,5,2,3
A_FIXED,A_RES_CV,22,8,2,3,1,2
A_FIXED,A_RES_CV,23,4,1,1,0,2
