model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
S_RES_CV,11,106,96,0.9056603773584906,28,0.2916666666666667,0.35772305020564693,0.34439315930624,31.271738558661713,22.539923348455513,0.4715711882689113
S_RES_CV,12,96,86,0.8958333333333334,16,0.18604651162790697,0.3136783925985964,0.29842686266999807,36.36203724466944,23.938677639105414,0.5193031749933568
S_RES_CV,13,86,77,0.8953488372093024,10,0.12987012987012986,0.26445977189827563,0.23525774316293963,42.36841620002978,28.555589412550976,0.5864275401906679
S_RES_CV,14,77,68,0.8831168831168831,9,0.1323529411764706,0.2283498735430931,0.19214039320064313,48.35660572853043,31.78225578023843,0.6977050666633394
S_RES_CV,15,68,59,0.8676470588235294,3,0.05084745762711865,0.1851743084775691,0.14019273470830926,55.92811393466993,33.262880108714015,0.7994180326540549
S_RES_CV,16,59,50,0.847457627118644,0,0.0,0.13544033872696568,0.08277840146027808,65.3701284363019,38.67538093495578,0.8938828367889279
S_RES_CV,17,50,41,0.82,1,0.024390243902439025,0.1129428122352492,0.04152838961553409,72.95094970283053,39.158489184508774,0.998928478956349
S_RES_CV,18,41,32,0.7804878048780488,0,0.0,0.09764064415096191,0.01975656249232663,72.51282285175517,38.791135815817555,1.1144555085206458
S_RES_CV,19,32,25,0.78125,1,0.04,0.07846839931517041,0.0,83.99951278604505,41.82320279539699,1.299138306372964
S_RES_CV,20,25,19,0.76,1,0.05263157894736842,0.07975916296405422,0.0,99.47681682610319,43.130763569471924,1.863863606594325
S_RES_CV,21,19,13,0.6842105263157895,1,0.07692307692307693,0.06910474104558352,0.0,87.70214680859984,46.12241728959396,2.187595457806405
S_RES_CV,22,13,8,0.6153846153846154,1,0.125,0.0653111003976367,0.0,113.45512444024243,53.189788601367056,2.2420546515582283
S_RES_CV,23,8,4,0.5,0,0.0,0.0,0.0,172.0648198211381,107.21312359871436,3.055984627934831
S_RES_CV,24,4,0,0.0,0,,,,,,
T_FIXED,1,243,243,1.0,182,0.7489711934156379,0.6016856648429203,0.6082577041986637,11.442655341668363,11.01135777277262,0.20534561246876537
T_FIXED,2,227,227,1.0,78,0.3436123348017621,0.3944355900530034,0.3785900783289817,21.86685868904092,21.691011963483863,0.40084975901273423
T_FIXED,3,212,212,1.0,38,0.1792452830188679,0.2657777025044875,0.2298129712645069,31.918671322075276,31.832406069267375,0.5894383793355
T_FIXED,4,197,197,1.0,9,0.04568527918781726,0.18374400049928888,0.12033195020746888,41.67679097173588,41.98288341693553,0.7793052413026456
T_FIXED,5,182,182,1.0,1,0.005494505494505495,0.13249173530906969,0.050167838272820245,50.82363603993935,52.06065619542353,0.9627706887119982
T_FIXED,6,168,168,1.0,0,0.0,0.09791201210016003,0.009245447230219587,59.49800977016529,61.39186016306287,1.153837939989617
T_FIXED,7,155,155,1.0,0,0.0,0.0730578532015268,0.0,68.3052145155876,70.0200864038313,1.3264878225182561
T_FIXED,8,142,142,1.0,0,0.0,0.05307426919286869,0.0,76.68345969877402,78.35689865018841,1.4958998190887258
T_FIXED,9,129,129,1.0,0,0.0,0.03653806165031758,0.0,84.60385790640422,86.33148324916003,1.6671588750193442
T_FIXED,10,117,117,1.0,0,0.0,0.023590855097676475,0.0,92.43736180578513,94.55719168841681,1.8436333507362763
T_FIXED,11,106,106,1.0,0,0.0,0.01383132785567932,0.0,100.84132329612596,102.06106276980549,1.9678918846216038
T_FIXED,12,96,96,1.0,0,0.0,0.006722830507900739,0.0,109.01550437450418,109.63884753414902,2.148798801893312
