model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
S_FIXED,17,41,41,1.0,1,0.024390243902439025,0.15317804681995034,0.11652839450592646,44.18537751882067,43.27719222505402,0.8388859340994003
S_FIXED,18,32,32,1.0,0,0.0,0.13468575094646815,0.10055397024548943,47.21869091786618,43.17014268214255,0.9337555773016608
S_FIXED,19,25,25,1.0,0,0.0,0.12256608754769989,0.08236098967782715,50.18181706964021,43.523641397483,0.9214593129758134
S_FIXED,20,19,19,1.0,0,0.0,0.10959157034541164,0.06479826914317309,52.612794359760024,44.48362922544051,0.9722367118707901
S_FIXED,21,13,13,1.0,0,0.0,0.09660621425833048,0.01977175760136324,54.535062795577495,45.8298838790589,1.2508573830784482
S_FIXED,22,8,8,1.0,0,0.0,0.08551913255856275,0.06413025117072639,59.00011281348661,58.34635372205922,1.207992544624994
S_FIXED,23,4,4,1.0,0,0.0,0.06074482439696367,0.031714880760745294,61.86436898683805,60.653069992307195,1.273629150083154
S_RES_CV,1,227,227,1.0,227,1.0,0.9190217209904776,0.9409889464270701,2.2498625483637116,1.1587058099031118,0.021911048704194434
S_RES_CV,2,212,212,1.0,205,0.9669811320754716,0.8567867631077382,0.9036980300382939,4.508904924076692,2.036153185349659,0.042003102044633076
S_RES_CV,3,197,197,1.0,181,0.9187817258883249,0.7915021166970654,0.8468480964600426,6.91275768139786,3.4190152119125723,0.06970682656083768
S_RES_CV,4,182,182,1.0,162,0.8901098901098901,0.7293444333545186,0.7925755841658535,9.035256862405571,5.421065816547767,0.10322772484129403
S_RES_CV,5,168,168,1.0,140,0.8333333333333334,0.6773272894885475,0.7374737893277049,11.233389593282398,7.019239913318432,0.14484050343315463
S_RES_CV,6,155,155,1.0,117,0.7548387096774194,0.6256668775247735,0.6691284304594242,13.68240497854008,8.94646774556713,0.18361626196882053
S_RES_CV,7,142,142,1.0,92,0.647887323943662,0.5686382010242467,0.615334050716832,16.872623988871975,11.123064090865359,0.22927311205747702
S_RES_CV,8,129,129,1.0,72,0.5581395348837209,0.5149644258289583,0.5645482040042943,19.977379218168107,13.231184505241442,0.2666433396249889
S_RES_CV,9,117,117,1.0,54,0.46153846153846156,0.4596161566839942,0.480190127172907,22.772008318054596,17.17847353275921,0.3380504481654206
S_RES_CV,10,106,106,1.0,38,0.3584905660377358,0.4053537405711528,0.4182904644779921,26.798520377690718,18.863342239653626,0.4034092464037604
S_RES_CV,11,96,96,1.0,28,0.2916666666666667,0.35772305020564693,0.34439315930624,31.271738558661713,22.539923348455513,0.4715711882689113
S_RES_CV,12,86,86,1.0,16,0.18604651162790697,0.3136783925985964,0.29842686266999807,36.36203724466944,23.938677639105414,0.5193031749933568
S_RES_CV,13,77,77,1.0,10,0.12987012987012986,0.26445977189827563,0.23525774316293963,42.36841620002978,28.555589412550976,0.5864275401906679
S_RES_CV,14,68,68,1.0,9,0.1323529411764706,0.2283498735430931,0.19214039320064313,48.35660572853043,31.78225578023843,0.6977050666633394
S_RES_CV,15,59,59,1.0,3,0.05084745762711865,0.1851743084775691,0.14019273470830926,55.92811393466993,33.262880108714015,0.7994180326540549
S_RES_CV,16,50,50,1.0,0,0.0,0.13544033872696568,0.08277840146027808,65.3701284363019,38.67538093495578,0.8938828367889279
S_RES_CV,17,41,41,1.0,1,0.024390243902439025,0.1129428122352492,0.04152838961553409,72.95094970283053,39.158489184508774,0.998928478956349
S_RES_CV,18,32,32,1.0,0,0.0,0.09764064415096191,0.01975656249232663,72.51282285175517,38.791135815817555,1.1144555085206458
S_RES_CV,19,25,25,1.0,1,0.04,0.07846839931517041,0.0,83.99951278604505,41.82320279539699,1.299138306372964
S_RES_CV,20,19,19,1.0,1,0.05263157894736842,0.07975916296405422,0.0,99.47681682610319,43.130763569471924,1.863863606594325
S_RES_CV,21,13,13,1.0,1,0.07692307692307693,0.06910474104558352,0.0,87.70214680859984,46.12241728959396,2.187595457806405
S_RES_CV,22,8,8,1.0,1,0.125,0.0653111003976367,0.0,113.45512444024243,53.189788601367056,2.2420546515582283
S_RES_CV,23,4,4,1.0,0,0.0,0.0,0.0,172.0648198211381,107.21312359871436,3.055984627934831
T_FIXED,1,227,227,1.0,175,0.7709251101321586,0.6123509953237649,0.609021199819576,10.988146884256318,10.920164833920778,0.20006249023742556
T_FIXED,2,212,212,1.0,73,0.3443396226415094,0.40208195394479523,0.38042203379926787,21.239237589054103,21.66145567747198,0.3913335027595144
T_FIXED,3,197,197,1.0,36,0.18274111675126903,0.2708886989908714,0.2339085182141879,31.12461088125667,31.664254294077416,0.5821022034029862
T_FIXED,4,182,182,1.0,8,0.04395604395604396,0.18701797923043237,0.12252699026109412,40.67259241113523,41.932236048447805,0.7621937418783737
T_FIXED,5,168,168,1.0,0,0.0,0.13345886738367546,0.055803002857453765,49.74101123336579,51.91625956449914,0.9602654282789016
T_FIXED,6,155,155,1.0,0,0.0,0.09757846322237139,0.009514271407110666,58.757061454254526,60.530983801686226,1.1506488467795208
T_FIXED,7,142,142,1.0,0,0.0,0.0724629868708763,0.0,67.3266129685957,69.60520643346162,1.3220627067514368
T_FIXED,8,129,129,1.0,0,0.0,0.05225197944954937,0.0,75.38736482649645,78.14449756700724,1.487567125928108
T_FIXED,9,117,117,1.0,0,0.0,0.03562361415581153,0.0,83.46933503332006,86.0559411080955,1.6671588750193442
T_FIXED,10,106,106,1.0,0,0.0,0.02259445826320641,0.0,91.94877724532257,94.48310436828902,1.830698776831987
T_FIXED,11,96,96,1.0,0,0.0,0.013476774613759984,0.0,100.18980419823201,102.06106276980549,1.9678918846216038
T_FIXED,12,86,86,1.0,0,0.0,0.006458514412938223,0.0,108.19778504784828,109.63884753414902,2.148798801893312
T_FIXED,13,77,77,1.0,0,0.0,0.0017035239110920234,0.0,116.47898137162838,118.30178570080842,2.320440736996309
T_FIXED,14,68,68,1.0,0,0.0,0.00044169581052771106,0.0,124.48385793021947,125.81111579708454,2.4856131233155994
T_FIXED,15,59,59,1.0,0,0.0,0.0,0.0,132.13405514384152,133.02560843687203,2.6282642186429337
T_FIXED,16,50,50,1.0,0,0.0,0.0,0.0,139.27807153891902,141.03513596362467,2.7928522235409847
T_FIXED,17,41,41,1.0,0,0.0,0.0,0.0,145.52868688960882,148.4303287741424,3.0093632736875406
T_FIXED,18,32,32,1.0,0,0.0,0.0,0.0,151.28377295511865,155.132099482176,3.1198475607143643
