model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
S_RES_CV,5,small_tower,14,14,1.0,13,0.9285714285714286,0.7030587969530482,0.6684903414044765,8.670154403019772,9.452498373047678,0.1658333047903101
S_RES_CV,5,spacecraft,17,17,1.0,15,0.8823529411764706,0.7265362838710688,0.7750180600833839,5.441444458795584,4.729921706877643,0.10510937126394762
S_RES_CV,5,ta-ta,19,19,1.0,9,0.47368421052631576,0.4157848832680766,0.4722349967003392,9.424650478808402,6.411854643666445,0.38656870723213577
S_RES_CV,5,tank,19,19,1.0,15,0.7894736842105263,0.6271422016802849,0.6675848851231817,13.606693681828324,7.419720655334386,0.15811276034567315
S_RES_CV,6,condor,4,4,1.0,4,1.0,0.8525069412933883,0.852104934878422,25.72527586686556,18.905442387802637,0.13761927595969314
S_RES_CV,6,helicopter,12,12,1.0,12,1.0,0.8022358272595681,0.8318193108363958,10.812727778041356,9.276751347039836,0.0970554886708411
S_RES_CV,6,jammer,6,6,1.0,3,0.5,0.5495690671030585,0.5216780364243429,9.316468217583562,9.904144491022375,0.2955590416068501
S_RES_CV,6,jet_plane,15,15,1.0,14,0.9333333333333333,0.7675446729917613,0.7847384253715644,16.474069631175556,9.22161791330071,0.11245875504025256
S_RES_CV,6,large_launcher,18,18,1.0,18,1.0,0.7415897772533753,0.7628323795610099,17.830399453900565,19.14096331657253,0.16857659456272675
S_RES_CV,6,large_tower,12,12,1.0,8,0.6666666666666666,0.5763251308916644,0.5844890012656396,22.981708987631848,13.192880667503605,0.21517613861399723
S_RES_CV,6,medium_launcher,3,3,1.0,2,0.6666666666666666,0.45344181798992594,0.5714123880940803,36.92290373839885,13.449708594162637,1.4944120660180706
S_RES_CV,6,small_launcher,18,18,1.0,11,0.6111111111111112,0.5327965926194927,0.5526781199312976,7.441837071715461,6.224195616335592,0.27689145288240125
S_RES_CV,6,small_plane,2,2,1.0,2,1.0,0.6724374245528384,0.6724374245528384,8.569506959896177,8.569506959896177,0.19814450270445627
S_RES_CV,6,small_tower,13,13,1.0,10,0.7692307692307693,0.6295221590080279,0.5694845417599564,11.036009518912085,9.740840610381625,0.23226712093179097
S_RES_CV,6,spacecraft,16,16,1.0,14,0.875,0.6830284936572713,0.7337276163720706,6.585751644331301,5.782846113784842,0.1266322927249428
S_RES_CV,6,ta-ta,18,18,1.0,6,0.3333333333333333,0.37891747756235994,0.44115174092786025,10.50962641151427,7.113837174292907,0.4579222343124344
S_RES_CV,6,tank,18,18,1.0,13,0.7222222222222222,0.5910060407403618,0.6421766619760272,16.02817584369693,8.966488257619222,0.19283924219711107
S_RES_CV,7,condor,3,3,1.0,3,1.0,0.8361313326286558,0.873605365695754,33.3488475206415,20.582261859908126,0.1715188488325677
S_RES_CV,7,helicopter,11,11,1.0,11,1.0,0.7428188214129594,0.7498916221737603,13.619159895624511,14.298161390205399,0.1474037256722206
S_RES_CV,7,jammer,5,5,1.0,2,0.4,0.48183416016049574,0.4550890332613856,11.188745558899639,11.012958880176823,0.3746973108068927
S_RES_CV,7,jet_plane,14,14,1.0,13,0.9285714285714286,0.7321880877056602,0.765233240792164,20.22720206679731,9.168911135569477,0.11536639891021241
S_RES_CV,7,large_launcher,17,17,1.0,16,0.9411764705882353,0.6793217963583164,0.6958034106953738,21.76330825968513,22.95460352958752,0.20753103613918963
S_RES_CV,7,large_tower,11,11,1.0,5,0.45454545454545453,0.5228366009145987,0.4610536369711257,28.52807513523346,19.297251294848728,0.32603305722758397
S_RES_CV,7,medium_launcher,2,2,1.0,0,0.0,0.27120925477437746,0.27120925477437746,59.13361462934516,59.13361462934516,3.1396610301460903
S_RES_CV,7,small_launcher,17,17,1.0,7,0.4117647058823529,0.45683631534700564,0.4444217474031294,9.258754705114185,7.416436724004978,0.34723082520227805
S_RES_CV,7,small_plane,1,1,1.0,0,0.0,0.4746236759323089,0.4746236759323089,16.75254900633484,16.75254900633484,0.3807397501439736
S_RES_CV,7,small_tower,12,12,1.0,6,0.5,0.5485325132909977,0.5055205155717981,15.717305755690463,15.525250110398076,0.3274047661626079
S_RES_CV,7,spacecraft,15,15,1.0,12,0.8,0.6289100943798167,0.6691470697649519,8.174828765222395,7.733092144609941,0.17986967986972077
S_RES_CV,7,ta-ta,17,17,1.0,6,0.35294117647058826,0.3528701370039038,0.4072031189199228,11.824959396461853,8.64754343921227,0.4934955729724658
S_RES_CV,7,tank,17,17,1.0,11,0.6470588235294118,0.547626640267357,0.6086209278526257,18.73368604915947,10.280146082460185,0.21872651239276988
S_RES_CV,8,condor,2,2,1.0,2,1.0,0.7266379834234469,0.7266379834234469,33.27360432288924,33.27360432288924,0.7739091064567503
S_RES_CV,8,helicopter,10,10,1.0,10,1.0,0.6828599245775673,0.6663717075813876,19.18325860292859,20.929386197206476,0.2109530235547798
S_RES_CV,8,jammer,4,4,1.0,0,0.0,0.4058374985077478,0.4213559167688917,13.845374567678865,13.462834894510818,0.3995577155275153
S_RES_CV,8,jet_plane,13,13,1.0,12,0.9230769230769231,0.6981962160320614,0.7158967977943786,24.49442789708622,10.602094123004619,0.1308900509012916
