model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_RES_CV,9,0,104,104,1.0,73,0.7019230769230769,0.6111592937602932,0.6389916313245958,10.536174764924104,7.482810444800723,0.17255833279964397
A_RES_CV,9,1,13,13,1.0,10,0.7692307692307693,0.5850461783290741,0.6628463522252737,60.70727636222852,23.78242364306417,0.824731847423576
A_RES_CV,10,0,94,94,1.0,60,0.6382978723404256,0.5857073464726875,0.6097407715782239,11.40035362209957,7.762193455710683,0.18418345608742182
A_RES_CV,10,1,12,12,1.0,7,0.5833333333333334,0.49921255560890626,0.6235070375495573,67.24172414157157,20.47514710755098,0.3760718346756609
A_RES_CV,11,0,84,84,1.0,49,0.5833333333333334,0.5517538189526202,0.570625464038012,13.066650700234009,8.934943605010506,0.20739319576217746
A_RES_CV,11,1,12,12,1.0,7,0.5833333333333334,0.5051459607195713,0.5964708502963949,70.78381207913054,21.25837999749976,0.3004821519527543
A_RES_CV,12,0,75,75,1.0,40,0.5333333333333333,0.5131456040201928,0.5383632113715912,14.642401562468343,10.456153992354004,0.24317696807094705
A_RES_CV,12,1,11,11,1.0,8,0.7272727272727273,0.542552818316708,0.6450469076206795,83.51443695562361,24.293127515382288,0.6392928293521655
A_RES_CV,13,0,66,66,1.0,35,0.5303030303030303,0.4903482868936411,0.5209950263807765,15.129838844347509,10.477057332142412,0.25731622842900237
A_RES_CV,13,1,11,11,1.0,5,0.45454545454545453,0.38901138382921946,0.36885807704976453,96.14619053854298,31.560211545201923,0.4557641174860585
A_RES_CV,14,0,57,57,1.0,29,0.5087719298245614,0.4626753527554822,0.5037481259370314,16.49545634440786,11.397315558908916,0.26182438995031965
A_RES_CV,14,1,11,11,1.0,6,0.5454545454545454,0.4294265817147205,0.5404695611831624,102.53260764380019,27.06787284792607,0.7123124433664755
A_RES_CV,15,0,48,48,1.0,21,0.4375,0.4267825954717937,0.41466277381761596,17.632053708029094,12.533148772399482,0.3037929322445473
A_RES_CV,15,1,11,11,1.0,7,0.6363636363636364,0.4841106921579766,0.5728917257449565,109.55507892954637,25.012466124002458,0.8916344151997064
A_RES_CV,16,0,39,39,1.0,16,0.41025641025641024,0.4189267069512863,0.47041355215435887,16.839459494961623,12.80487002097418,0.2937406361213743
A_RES_CV,16,1,11,11,1.0,4,0.36363636363636365,0.35517981065668763,0.21112735281559145,120.04301077136078,24.308647194957153,0.7058025595435073
A_RES_CV,17,0,30,30,1.0,9,0.3,0.3725230903949216,0.39954968394159673,19.310944809245076,14.277755996367448,0.3574860353414019
A_RES_CV,17,1,11,11,1.0,6,0.5454545454545454,0.38473012274618784,0.5005761708761058,128.88367306366183,21.507106298815014,0.8031626189250335
