model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_RES_CV,10,8-<16,43,43,1.0,29,0.6744186046511628,0.5731592269394037,0.6071493195609942,20.775081516219647,10.848204717607192,0.2198147913497045
A_RES_CV,10,<4,7,7,1.0,0,0.0,0.25878377620943976,0.2651430695976696,13.414128721875283,9.450785700620974,0.6300523800413983
A_RES_CV,11,16-32,29,29,1.0,24,0.8275862068965517,0.7047230595947349,0.7686708158050384,25.18964432142433,12.195689100124275,0.12132942680138112
A_RES_CV,11,4-<8,22,22,1.0,7,0.3181818181818182,0.4392325958509977,0.4378216827946395,9.382566353635047,7.142995144930429,0.3216813779121526
A_RES_CV,11,8-<16,38,38,1.0,24,0.631578947368421,0.5300961943702894,0.5569391248918916,24.793503958964294,11.53685813715538,0.23545526890002666
A_RES_CV,11,<4,7,7,1.0,1,0.14285714285714285,0.30933301394495644,0.36470588235294116,9.705015461043383,9.09158264676511,0.6493987604832221
A_RES_CV,12,16-32,26,26,1.0,21,0.8076923076923077,0.6803837837017542,0.7604350561865355,28.682727613661385,12.453607963203691,0.14731692501959867
A_RES_CV,12,4-<8,19,19,1.0,7,0.3684210526315789,0.4335230965005722,0.40666844377583156,10.887288797683883,7.80188401900971,0.3392123486525961
A_RES_CV,12,8-<16,34,34,1.0,19,0.5588235294117647,0.4942763742717992,0.5318099545305308,28.978741238879657,15.110895693820257,0.26413877264579566
A_RES_CV,12,<4,7,7,1.0,1,0.14285714285714285,0.24595533828580093,0.20286704923689888,11.278902351983897,12.31352048961798,0.820901365974532
A_RES_CV,13,16-32,23,23,1.0,19,0.8260869565217391,0.6543420514551758,0.745520356083202,33.427686248246175,14.070094420297297,0.14441137760333633
A_RES_CV,13,4-<8,17,17,1.0,5,0.29411764705882354,0.3625988557620494,0.3374959366952658,12.006548244086694,8.957816454566558,0.3894702806333286
A_RES_CV,13,8-<16,30,30,1.0,16,0.5333333333333333,0.4762655418994719,0.5209950263807765,32.60036089951769,16.08747807464845,0.2858093385009479
A_RES_CV,13,<4,7,7,1.0,0,0.0,0.16287116695624096,0.07142103582450518,15.031218400891689,14.29060507588312,0.9990851237430488
A_RES_CV,14,16-32,20,20,1.0,16,0.8,0.613509147019673,0.7177198819798443,40.028392106947734,14.998097194511969,0.13469996749667235
A_RES_CV,14,4-<8,15,15,1.0,5,0.3333333333333333,0.36055852341020245,0.3707954222704989,13.396141011878141,7.327896317675215,0.3053290132364673
A_RES_CV,14,8-<16,26,26,1.0,14,0.5384615384615384,0.46783771219379344,0.528123763671992,37.68876132670667,13.89161293719108,0.28918723666376445
A_RES_CV,14,<4,7,7,1.0,0,0.0,0.17912088533418338,0.20724717931103095,12.383134843078542,9.717283619456204,0.7657055965034659
A_RES_CV,15,16-32,17,17,1.0,13,0.7647058823529411,0.5987410358192341,0.7159246005121717,45.92320393704355,16.31197230984477,0.15339901303345876
A_RES_CV,15,4-<8,13,13,1.0,4,0.3076923076923077,0.3330730974165096,0.24156925515842056,16.334847316918378,10.22775664365636,0.44468507146332
A_RES_CV,15,8-<16,22,22,1.0,10,0.45454545454545453,0.4328545981067618,0.45139796560871615,44.11903591973484,17.18949339725148,0.34851454232719353
A_RES_CV,15,<4,7,7,1.0,1,0.14285714285714285,0.25420473752764006,0.3414885850980785,12.53973913236584,10.406436289197192,0.6937624192798127
A_RES_CV,16,16-32,14,14,1.0,9,0.6428571428571429,0.5617499859918872,0.7133540171838327,57.14367986166542,16.18690517354824,0.16752615973825058
A_RES_CV,16,4-<8,11,11,1.0,2,0.18181818181818182,0.28535101218544573,0.36483829524124267,16.908555899362383,7.592477263567788,0.33010770711164295
A_RES_CV,16,8-<16,18,18,1.0,9,0.5,0.44296959258969276,0.5032419968178357,50.215234772041214,14.58290828010929,0.289035431028603
A_RES_CV,16,<4,7,7,1.0,0,0.0,0.18118655482613397,0.20645252841370215,12.476025705061184,10.288067002614149,0.8777012228334584
A_RES_CV,17,16-32,11,11,1.0,6,0.5454545454545454,0.4805551672393607,0.6566674697186865,74.45992264219343,22.503068247138376,0.19914219687733076
A_RES_CV,17,4-<8,9,9,1.0,3,0.3333333333333333,0.3078776929026789,0.33444519945294005,20.986499147645528,10.7129910376401,0.5101424303638142
A_RES_CV,17,8-<16,14,14,1.0,5,0.35714285714285715,0.41258102519335355,0.4705585030930236,63.842787879197,17.93437598400937,0.34912517049942504
A_RES_CV,17,<4,7,7,1.0,1,0.14285714285714285,0.22494051908452647,0.19487046896637503,13.616010896562441,13.526609127588472,0.9661863662563194
A_RES_CV,18,16-32,9,9,1.0,6,0.6666666666666666,0.542039429706301,0.6585708055363425,76.1660027195167,18.68264039637866,0.17031698367725845
A_RES_CV,18,4-<8,7,7,1.0,0,0.0,0.2761446903862566,0.28902133929709795,16.362211033684808,11.017433072761165,0.481242274729284
A_RES_CV,18,8-<16,9,9,1.0,4,0.4444444444444444,0.3783255215954291,0.49621172219264603,49.90628997140834,14.69443746621507,0.28258533588875134
A_RES_CV,18,<4,7,7,1.0,0,0.0,0.17859389061960598,0.16487692687152963,24.541656217651678,15.116814528535768,1.0797724663239834
A_RES_CV,19,16-32,7,7,1.0,4,0.5714285714285714,0.5061071129066786,0.6592108970523429,100.00889420936498,24.575000781485425,0.25868421875247816
A_RES_CV,19,4-<8,5,5,1.0,0,0.0,0.21365531689012504,0.22864144453633775,19.981866200208575,13.401609596254522,0.5826786780980227
A_RES_CV,19,8-<16,7,7,1.0,3,0.42857142857142855,0.315837471941788,0.27260818594677444,66.20747707960437,29.574666325513356,0.5687435831829492
A_RES_CV,19,<4,6,6,1.0,0,0.0,0.15956340082456666,0.06619648901599097,25.103419458082943,12.73327786869088,1.1940449836147968
A_RES_CV,20,16-32,5,5,1.0,3,0.6,0.43161366334832907,0.624803651766347,136.51664689527394,20.04854294098904,0.18225948128171857
A_RES_CV,20,4-<8,4,4,1.0,0,0.0,0.19267527127312978,0.14533410920552436,23.898276647783568,22.432160616809632,0.9484172483806244
A_RES_CV,20,8-<16,5,5,1.0,2,0.4,0.29918287800910937,0.23656753736915986,90.19166892469664,33.41977699497884,0.6962453540620591
