model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_RES_CV,6,<4,8,8,1.0,3,0.375,0.42054356211197813,0.41101911732221297,10.231845966543714,8.278131793524361,0.5518754529016241
A_RES_CV,6,>32,2,2,1.0,2,1.0,0.9245795555498351,0.9245795555498351,5.161225716754335,5.161225716754335,0.02964211969227956
A_RES_CV,7,16-32,42,42,1.0,39,0.9285714285714286,0.7983144223584783,0.8316513453227277,14.435648396115827,8.223028984801523,0.07923022954912821
A_RES_CV,7,4-<8,31,31,1.0,21,0.6774193548387096,0.5456879130676885,0.5715323693152107,9.83639627930266,4.9187024234214,0.21385662710527825
A_RES_CV,7,8-<16,60,60,1.0,50,0.8333333333333334,0.6666775647156804,0.7254215275727163,14.369882056197751,7.481839364147545,0.15660856574677096
A_RES_CV,7,<4,8,8,1.0,2,0.25,0.3741080683760039,0.45153778182913423,9.240198911936213,9.721722692822688,0.694408763773049
A_RES_CV,7,>32,1,1,1.0,1,1.0,0.869005478351949,0.869005478351949,10.560404756515789,10.560404756515789,0.06034517003723308
A_RES_CV,8,16-32,39,39,1.0,36,0.9230769230769231,0.7720398694725751,0.81903210566247,16.159510014564308,8.267086224731614,0.08328552660186576
A_RES_CV,8,4-<8,28,28,1.0,18,0.6428571428571429,0.5342580112251306,0.5304784361255286,6.797821853907536,5.526576694838743,0.25111950180311493
A_RES_CV,8,8-<16,54,54,1.0,44,0.8148148148148148,0.6372285050381798,0.6941448666539101,17.008687926810747,8.586247555735518,0.16127573075685042
A_RES_CV,8,<4,8,8,1.0,3,0.375,0.33926906527914236,0.3354463255935838,23.840157222653854,7.142117136093131,0.49363724238242734
A_RES_CV,9,16-32,35,35,1.0,31,0.8857142857142857,0.7479192286024873,0.8102462929397011,18.398161354741113,8.75373516463943,0.08879625964785152
A_RES_CV,9,4-<8,26,26,1.0,13,0.5,0.5185032370846585,0.510274597043786,7.635095537613027,5.546965941481181,0.26084733839522445
A_RES_CV,9,8-<16,49,49,1.0,37,0.7551020408163265,0.5941417794125374,0.6342845148995994,19.707891848910272,9.743798256454609,0.19718555153367462
A_RES_CV,9,<4,7,7,1.0,2,0.2857142857142857,0.34213750183513564,0.3866767724142874,10.974562324370922,8.061039607481167,0.5757885433915119
A_RES_CV,10,16-32,32,32,1.0,28,0.875,0.7305420574749013,0.7913614558272013,20.944122036588922,8.582438212554914,0.09811679847632565
A_RES_CV,10,4-<8,24,24,1.0,10,0.4166666666666667,0.46718175852842564,0.47989542637666743,9.212275781450048,6.805084704642772,0.2996313690596483
