class,cohort,method,horizon,count,valid_count,valid_fraction,mean_iou,median_iou
small_launcher,all_available,velocity,16,8,0,0.0,0.0,0.0
small_launcher,all_available,velocity,17,7,0,0.0,0.0,0.0
small_launcher,all_available,velocity,18,6,0,0.0,0.0,0.0
small_launcher,all_available,velocity,19,5,0,0.0,0.0,0.0
small_launcher,all_available,velocity,20,4,0,0.0,0.0,0.0
small_launcher,all_available,velocity,21,3,0,0.0,0.0,0.0
small_launcher,all_available,velocity,22,2,0,0.0,0.0,0.0
small_launcher,all_available,velocity,23,1,0,0.0,0.0,0.0
small_plane,all_available,hold,1,8,0,0.0,0.0,0.0
small_plane,all_available,hold,2,7,0,0.0,0.0,0.0
small_plane,all_available,hold,3,6,0,0.0,0.0,0.0
small_plane,all_available,hold,4,5,0,0.0,0.0,0.0
small_plane,all_available,hold,5,4,0,0.0,0.0,0.0
small_plane,all_available,hold,6,3,0,0.0,0.0,0.0
small_plane,all_available,hold,7,2,0,0.0,0.0,0.0
small_plane,all_available,hold,8,1,0,0.0,0.0,0.0
small_plane,all_available,velocity,1,7,7,1.0,0.9379866012187498,0.9411764705882353
small_plane,all_available,velocity,2,6,6,1.0,0.8438321188909096,0.8555247597930524
small_plane,all_available,velocity,3,5,5,1.0,0.7239392543831782,0.7280064568200162
small_plane,all_available,velocity,4,4,4,1.0,0.5961908675434949,0.6093223419809732
small_plane,all_available,velocity,5,3,1,0.3333333333333333,0.4656922753122539,0.4828398384925976
small_plane,all_available,velocity,6,2,0,0.0,0.3623224874634521,0.3623224874634521
small_plane,all_available,velocity,7,1,0,0.0,0.23126510878323933,0.23126510878323933
small_tower,all_available,hold,1,19,0,0.0,0.0,0.0
small_tower,all_available,hold,2,18,0,0.0,0.0,0.0
small_tower,all_available,hold,3,17,0,0.0,0.0,0.0
small_tower,all_available,hold,4,16,0,0.0,0.0,0.0
small_tower,all_available,hold,5,15,0,0.0,0.0,0.0
small_tower,all_available,hold,6,14,0,0.0,0.0,0.0
small_tower,all_available,hold,7,13,0,0.0,0.0,0.0
small_tower,all_available,hold,8,12,0,0.0,0.0,0.0
small_tower,all_available,hold,9,11,0,0.0,0.0,0.0
small_tower,all_available,hold,10,10,0,0.0,0.0,0.0
small_tower,all_available,hold,11,9,0,0.0,0.0,0.0
small_tower,all_available,hold,12,8,0,0.0,0.0,0.0
small_tower,all_available,hold,13,7,0,0.0,0.0,0.0
small_tower,all_available,hold,14,6,0,0.0,0.0,0.0
small_tower,all_available,hold,15,5,0,0.0,0.0,0.0
small_tower,all_available,hold,16,4,0,0.0,0.0,0.0
small_tower,all_available,hold,17,3,0,0.0,0.0,0.0
small_tower,all_available,hold,18,2,0,0.0,0.0,0.0
small_tower,all_available,hold,19,1,0,0.0,0.0,0.0
small_tower,all_available,velocity,1,18,18,1.0,0.9455944460159869,0.9341369762548191
small_tower,all_available,velocity,2,17,17,1.0,0.8706823710464132,0.8725212464589235
small_tower,all_available,velocity,3,16,16,1.0,0.7758939134266789,0.7715556831228474
small_tower,all_available,velocity,4,15,15,1.0,0.6602953879431902,0.6574119980168567
small_tower,all_available,velocity,5,14,12,0.8571428571428571,0.5443229025550836,0.5482412696671448
small_tower,all_available,velocity,6,13,1,0.07692307692307693,0.4307951912856843,0.4323219281256725
small_tower,all_available,velocity,7,12,0,0.0,0.3198190950408013,0.3254466608640889
small_tower,all_available,velocity,8,11,0,0.0,0.21063926147714626,0.2014375561545373
small_tower,all_available,velocity,9,10,0,0.0,0.10890512822184714,0.10903930065073301
small_tower,all_available,velocity,10,9,0,0.0,0.033435067283379666,0.03787375415282392
small_tower,all_available,velocity,11,8,0,0.0,0.0,0.0
small_tower,all_available,velocity,12,7,0,0.0,0.0,0.0
small_tower,all_available,velocity,13,6,0,0.0,0.0,0.0
small_tower,all_available,velocity,14,5,0,0.0,0.0,0.0
small_tower,all_available,velocity,15,4,0,0.0,0.0,0.0
small_tower,all_available,velocity,16,3,0,0.0,0.0,0.0
small_tower,all_available,velocity,17,2,0,0.0,0.0,0.0
small_tower,all_available,velocity,18,1,0,0.0,0.0,0.0
spacecraft,all_available,hold,1,22,0,0.0,0.0,0.0
spacecraft,all_available,hold,2,21,0,0.0,0.0,0.0
spacecraft,all_available,hold,3,20,0,0.0,0.0,0.0
spacecraft,all_available,hold,4,19,0,0.0,0.0,0.0
spacecraft,all_available,hold,5,18,0,0.0,0.0,0.0
spacecraft,all_available,hold,6,17,0,0.0,0.0,0.0
spacecraft,all_available,hold,7,16,0,0.0,0.0,0.0
spacecraft,all_available,hold,8,15,0,0.0,0.0,0.0
spacecraft,all_available,hold,9,14,0,0.0,0.0,0.0
spacecraft,all_available,hold,10,13,0,0.0,0.0,0.0
spacecraft,all_available,hold,11,12,0,0.0,0.0,0.0
spacecraft,all_available,hold,12,11,0,0.0,0.0,0.0
spacecraft,all_available,hold,13,10,0,0.0,0.0,0.0
spacecraft,all_available,hold,14,9,0,0.0,0.0,0.0
spacecraft,all_available,hold,15,8,0,0.0,0.0,0.0
spacecraft,all_available,hold,16,7,0,0.0,0.0,0.0
spacecraft,all_available,hold,17,6,0,0.0,0.0,0.0
spacecraft,all_available,hold,18,5,0,0.0,0.0,0.0
spacecraft,all_available,hold,19,4,0,0.0,0.0,0.0
spacecraft,all_available,hold,20,3,0,0.0,0.0,0.0
spacecraft,all_available,hold,21,2,0,0.0,0.0,0.0
spacecraft,all_available,hold,22,1,0,0.0,0.0,0.0
spacecraft,all_available,velocity,1,21,21,1.0,0.9296418366825243,0.9407839866555463
spacecraft,all_available,velocity,2,20,20,1.0,0.8489241041678713,0.842035040545945
