class,origin_frame,target_frame,horizon,method,common_cohort,iou,valid_at_050,prediction_legal,origin_boundary,target_boundary
helicopter,12,16,4,hold,True,0.0,False,True,0,0
helicopter,12,17,5,hold,True,0.0,False,True,0,0
helicopter,12,18,6,hold,True,0.0,False,True,0,1
helicopter,12,13,1,velocity,True,0.9541162829219811,True,True,0,0
helicopter,12,14,2,velocity,True,0.8917986514034812,True,True,0,0
helicopter,12,15,3,velocity,True,0.8259187620889749,True,True,0,0
helicopter,12,16,4,velocity,True,0.735400444938821,True,True,0,0
helicopter,12,17,5,velocity,True,0.646759681835963,True,True,0,0
helicopter,12,18,6,velocity,True,0.5711880711880711,True,True,0,1
helicopter,13,14,1,hold,True,0.12711984505645046,False,True,0,0
helicopter,13,15,2,hold,True,0.0,False,True,0,0
helicopter,13,16,3,hold,True,0.0,False,True,0,0
helicopter,13,17,4,hold,True,0.0,False,True,0,0
helicopter,13,18,5,hold,True,0.0,False,True,0,1
helicopter,13,14,1,velocity,True,0.9623567921440261,True,True,0,0
helicopter,13,15,2,velocity,True,0.9178363034221731,True,True,0,0
helicopter,13,16,3,velocity,True,0.842671447781264,True,True,0,0
helicopter,13,17,4,velocity,True,0.7666098807495741,True,True,0,0
helicopter,13,18,5,velocity,True,0.6486486486486487,True,True,0,1
helicopter,14,15,1,hold,True,0.1324306779189465,False,True,0,0
helicopter,14,16,2,hold,True,0.0,False,True,0,0
helicopter,14,17,3,hold,True,0.0,False,True,0,0
helicopter,14,18,4,hold,True,0.0,False,True,0,1
helicopter,14,15,1,velocity,True,0.9741729772817855,True,True,0,0
helicopter,14,16,2,velocity,True,0.9286040493225758,True,True,0,0
helicopter,14,17,3,velocity,True,0.8774202940748289,True,True,0,0
helicopter,14,18,4,velocity,True,0.7207096971550933,True,True,0,1
helicopter,15,16,1,hold,True,0.12367267633636077,False,True,0,0
helicopter,15,17,2,hold,True,0.0,False,True,0,0
helicopter,15,18,3,hold,True,0.0,False,True,0,1
helicopter,15,16,1,velocity,True,0.9463233012721067,True,True,0,0
helicopter,15,17,2,velocity,True,0.8879976232917409,True,True,0,0
helicopter,15,18,3,velocity,True,0.7582597317631665,True,True,0,1
helicopter,16,17,1,hold,True,0.12302754747258625,False,True,0,0
helicopter,16,18,2,hold,True,0.0,False,True,0,1
helicopter,16,17,1,velocity,True,0.9902912621359223,True,True,0,0
helicopter,16,18,2,velocity,True,0.9047619047619048,True,True,0,1
helicopter,17,18,1,hold,True,0.18064603691639522,False,True,0,1
helicopter,17,18,1,velocity,True,0.95,True,True,0,1
