class,origin_frame,method,available_future,valid_prefix_frames,valid_prefix_s,failure_observed,right_censored
spacecraft,11,hold,11,0,0.0,True,False
spacecraft,11,velocity,11,5,1.6666666666666667,True,False
spacecraft,12,hold,10,0,0.0,True,False
spacecraft,12,velocity,10,4,1.3333333333333333,True,False
spacecraft,13,hold,9,0,0.0,True,False
spacecraft,13,velocity,9,4,1.3333333333333333,True,False
spacecraft,14,hold,8,0,0.0,True,False
spacecraft,14,velocity,8,5,1.6666666666666667,True,False
spacecraft,15,hold,7,0,0.0,True,False
spacecraft,15,velocity,7,4,1.3333333333333333,True,False
spacecraft,16,hold,6,0,0.0,True,False
spacecraft,16,velocity,6,4,1.3333333333333333,True,False
spacecraft,17,hold,5,0,0.0,True,False
spacecraft,17,velocity,5,4,1.3333333333333333,True,False
spacecraft,18,hold,4,0,0.0,True,False
spacecraft,18,velocity,4,3,1.0,True,False
spacecraft,19,hold,3,0,0.0,True,False
spacecraft,19,velocity,3,2,0.6666666666666666,True,False
spacecraft,20,hold,2,0,0.0,True,False
spacecraft,20,velocity,2,2,0.6666666666666666,False,True
spacecraft,21,hold,1,0,0.0,True,False
spacecraft,21,velocity,1,1,0.3333333333333333,False,True
ta-ta,0,hold,24,0,0.0,True,False
ta-ta,1,hold,23,0,0.0,True,False
ta-ta,1,velocity,23,3,1.0,True,False
ta-ta,2,hold,22,0,0.0,True,False
ta-ta,2,velocity,22,2,0.6666666666666666,True,False
ta-ta,3,hold,21,0,0.0,True,False
ta-ta,3,velocity,21,3,1.0,True,False
ta-ta,4,hold,20,0,0.0,True,False
ta-ta,4,velocity,20,3,1.0,True,False
ta-ta,5,hold,19,0,0.0,True,False
ta-ta,5,velocity,19,3,1.0,True,False
ta-ta,6,hold,18,0,0.0,True,False
ta-ta,6,velocity,18,3,1.0,True,False
ta-ta,7,hold,17,0,0.0,True,False
ta-ta,7,velocity,17,2,0.6666666666666666,True,False
ta-ta,8,hold,16,0,0.0,True,False
ta-ta,8,velocity,16,3,1.0,True,False
ta-ta,9,hold,15,0,0.0,True,False
ta-ta,9,velocity,15,3,1.0,True,False
ta-ta,10,hold,14,0,0.0,True,False
ta-ta,10,velocity,14,2,0.6666666666666666,True,False
ta-ta,11,hold,13,0,0.0,True,False
ta-ta,11,velocity,13,3,1.0,True,False
ta-ta,12,hold,12,0,0.0,True,False
ta-ta,12,velocity,12,2,0.6666666666666666,True,False
ta-ta,13,hold,11,0,0.0,True,False
ta-ta,13,velocity,11,2,0.6666666666666666,True,False
ta-ta,14,hold,10,0,0.0,True,False
ta-ta,14,velocity,10,3,1.0,True,False
ta-ta,15,hold,9,0,0.0,True,False
ta-ta,15,velocity,9,2,0.6666666666666666,True,False
ta-ta,16,hold,8,0,0.0,True,False
ta-ta,16,velocity,8,3,1.0,True,False
ta-ta,17,hold,7,0,0.0,True,False
ta-ta,17,velocity,7,2,0.6666666666666666,True,False
ta-ta,18,hold,6,0,0.0,True,False
ta-ta,18,velocity,6,2,0.6666666666666666,True,False
ta-ta,19,hold,5,0,0.0,True,False
ta-ta,19,velocity,5,2,0.6666666666666666,True,False
ta-ta,20,hold,4,0,0.0,True,False
ta-ta,20,velocity,4,2,0.6666666666666666,True,False
ta-ta,21,hold,3,0,0.0,True,False
ta-ta,21,velocity,3,2,0.6666666666666666,True,False
ta-ta,22,hold,2,0,0.0,True,False
ta-ta,22,velocity,2,1,0.3333333333333333,True,False
ta-ta,23,hold,1,0,0.0,True,False
ta-ta,23,velocity,1,1,0.3333333333333333,False,True
