pair_id,size_bin,target_short_side_l0,source_class,source_frame,helsinki_background_id,hosted_background_id,hosted_background_type,target_x1,target_y1,target_x2,target_y2,target_pixels_equal,helsinki_rank_iou_030,hosted_rank_iou_030,rank_delta_iou_030,helsinki_score_iou_030,hosted_score_iou_030,score_delta_iou_030,score_ratio_iou_030,helsinki_max_iou,hosted_max_iou,iou_delta,helsinki_proposal_count,hosted_proposal_count,helsinki_background_proposals,hosted_background_proposals,crosses_out_of_top1_iou_030,crosses_into_top1_iou_030,crosses_out_of_top5_iou_030,crosses_into_top5_iou_030,crosses_out_of_top20_iou_030,crosses_into_top20_iou_030,crosses_below_production_threshold,crosses_above_production_threshold
p0077,8to16,12,ta-ta,17,frame_000009,00095,river_industrial,34.0,496.0,60.0,508.0,True,44,3,-41,0.0015493929386138916,0.004332035779953003,0.0027826428413391113,2.7959568370232164,0.4712104578644856,0.44279600293475113,-0.02841445492973449,2114,2343,2113,2342,False,False,False,True,False,True,False,False
p0078,8to16,12,ta-ta,17,frame_000014,00145,harbor_industrial,112.0,418.0,138.0,430.0,True,70,20,-50,0.0012736320495605469,0.0010938942432403564,-0.00017973780632019043,0.8588777611381505,0.45099201251354665,0.5111872433612309,0.060195230847684245,1959,3322,1958,3320,False,False,False,False,False,True,False,False
p0079,8to16,12,ta-ta,17,frame_000024,00245,dense_urban_blocks,112.0,264.0,138.0,276.0,True,328,4,-324,0.00039568543434143066,0.0023449063301086426,0.001949220895767212,5.926188144912254,0.34449707957472864,0.4154813603922373,0.07098428081750868,1570,2836,1568,2834,False,False,False,True,False,True,False,False
p0080,gt16,24,ta-ta,17,frame_000000,00000,open_grass_road,130.0,333.0,181.0,357.0,True,316,290,-26,0.0008501410484313965,0.00047007203102111816,-0.0003800690174102783,0.5529341653228633,0.6710980990556639,0.44803804958266946,-0.2230600494729944,2440,2997,2433,2993,False,False,False,False,False,False,False,False
p0081,gt16,24,ta-ta,17,frame_000009,00095,river_industrial,130.0,333.0,181.0,357.0,True,581,225,-356,0.0003542304039001465,0.0009121894836425781,0.0005579590797424316,2.575130405519098,0.47107696615112477,0.6615623326009117,0.19048536644978692,2123,2347,2122,2344,False,False,False,False,False,False,False,False
p0082,gt16,24,ta-ta,17,frame_000014,00145,harbor_industrial,59.0,484.0,110.0,508.0,True,295,5,-290,0.0006770193576812744,0.0017524659633636475,0.001075446605682373,2.5885020029053134,0.6971384506992343,0.5260186027131439,-0.17111984798609037,1943,3350,1937,3346,False,False,False,True,False,True,False,False
p0083,gt16,24,ta-ta,17,frame_000024,00245,dense_urban_blocks,202.0,32.0,253.0,56.0,True,16,6,-10,0.002559840679168701,0.0015568137168884277,-0.0010030269622802734,0.608168207325308,0.6902766820389165,0.569964538476408,-0.12031214356250841,1599,2890,1595,2883,False,False,False,False,False,False,False,False
p0084,lt8,6,tank,13,frame_000000,00000,open_grass_road,274.0,267.0,280.0,273.0,True,,,0,0.0,0.0,0.0,,0.24355233845424604,0.2274061559789075,-0.016146182475338527,2347,3002,2347,3002,False,False,False,False,False,False,False,False
p0085,lt8,6,tank,13,frame_000009,00095,river_industrial,32.0,502.0,38.0,508.0,True,,,0,0.0,0.0,0.0,,0.21932428243991983,0.2746084912353806,0.05528420879546078,2122,2366,2122,2366,False,False,False,False,False,False,False,False
p0086,lt8,6,tank,13,frame_000014,00145,harbor_industrial,922.0,502.0,928.0,508.0,True,,,0,0.0,0.0,0.0,,0.08090367591525381,0.29682114704147217,0.21591747112621834,1945,3339,1945,3339,False,False,False,False,False,False,False,False
