backend,budget,image,sample_stride,state_reset,proposals_before_budget,proposals_after_budget,proposal_score_p10,proposal_score_p50,proposal_score_p90,recognition_crops,rejected_as_background,rejection_fraction,observations,top_class_distribution,top_posterior_p50,top_posterior_p90,objectness_p50,proposal_ms,recognition_ms,discovery_recognition_ms
v3_standard,32,00005.png,5,True,116,32,0.011439457535743713,0.0234176367521286,0.13782522082328796,32,1,0.03125,31,"{""condor"": 1, ""jammer"": 10, ""jet_plane"": 1, ""large_launcher"": 6, ""large_tower"": 4, ""small_launcher"": 2, ""small_tower"": 2, ""ta-ta"": 5, ""tank"": 1}",0.2363575,0.34594280000000005,0.984688,180.616600002395,265.7399000017904,446.35650000418536
v3_standard,32,00010.png,5,True,101,32,0.01130494475364685,0.02356746792793274,0.10721734166145325,32,1,0.03125,31,"{""condor"": 1, ""jammer"": 13, ""large_launcher"": 5, ""large_tower"": 3, ""small_launcher"": 3, ""small_tower"": 3, ""spacecraft"": 1, ""ta-ta"": 2, ""tank"": 1}",0.2264055,0.326103,0.9822150000000001,165.7240000058664,266.3128999993205,432.0369000051869
v3_standard,32,00015.png,5,True,86,32,0.012756392359733582,0.025687769055366516,0.1333990842103958,32,6,0.1875,26,"{""condor"": 1, ""jammer"": 14, ""large_launcher"": 5, ""large_tower"": 1, ""medium_launcher"": 1, ""small_launcher"": 4, ""small_tower"": 1, ""spacecraft"": 1, ""ta-ta"": 3, ""tank"": 1}",0.261289,0.345325,0.9902055000000001,187.04129999969155,379.3764000001829,566.4176999998745
v3_standard,32,00020.png,5,True,69,32,0.011315655708312989,0.02329239249229431,0.1064485311508179,32,1,0.03125,31,"{""jammer"": 17, ""large_launcher"": 2, ""small_launcher"": 2, ""small_tower"": 2, ""spacecraft"": 2, ""ta-ta"": 6, ""tank"": 1}",0.233233,0.3700776,0.9829595,167.29579999810085,271.99860000109766,439.2943999991985
v3_standard,32,00025.png,5,True,69,32,0.011306309700012208,0.022702723741531372,0.13231915235519426,32,0,0.0,32,"{""jammer"": 14, ""jet_plane"": 1, ""large_launcher"": 5, ""small_launcher"": 5, ""spacecraft"": 2, ""ta-ta"": 3, ""tank"": 2}",0.2345915,0.3265424,0.9804735,170.3205999947386,266.9314999948256,437.25209998956416
v3_standard,32,00030.png,5,True,74,32,0.011670991778373718,0.024007871747016907,0.13450954258441927,32,0,0.0,32,"{""condor"": 1, ""jammer"": 14, ""large_launcher"": 1, ""large_tower"": 2, ""medium_plane"": 1, ""small_launcher"": 2, ""spacecraft"": 4, ""ta-ta"": 5, ""tank"": 2}",0.2317845,0.3148014,0.9689255,179.85400000179652,319.9845000053756,499.8385000071721
v3_standard,32,00035.png,5,True,65,32,0.011242330074310303,0.020084738731384277,0.21283218264579776,32,0,0.0,32,"{""condor"": 1, ""hangar"": 1, ""helicopter"": 1, ""jammer"": 7, ""jet_plane"": 2, ""large_launcher"": 6, ""large_tower"": 2, ""small_launcher"": 2, ""small_tower"": 1, ""spacecraft"": 3, ""ta-ta"": 5, ""tank"": 1}",0.2587525,0.3418429,0.9615085,172.20240000460763,299.00859999179374,471.21099999640137
v3_standard,32,00040.png,5,True,67,32,0.010684382915496827,0.01974758505821228,0.15147941708564758,32,5,0.15625,27,"{""condor"": 1, ""hangar"": 1, ""jammer"": 7, ""jet_plane"": 2, ""large_launcher"": 4, ""medium_launcher"": 1, ""medium_plane"": 1, ""small_launcher"": 4, ""small_tower"": 1, ""spacecraft"": 3, ""ta-ta"": 2, ""tank"": 5}",0.2510095,0.345518,0.9219425,178.1319000001531,297.6675000099931,475.7994000101462
v3_standard,32,00045.png,5,True,52,32,0.010573089122772217,0.024504244327545166,0.14343164563179014,32,4,0.125,28,"{""condor"": 1, ""hangar"": 2, ""jammer"": 3, ""large_launcher"": 4, ""medium_launcher"": 2, ""medium_plane"": 1, ""small_launcher"": 1, ""small_tower"": 2, ""spacecraft"": 5, ""ta-ta"": 7, ""tank"": 4}",0.246429,0.350814,0.917269,172.6660999993328,271.5907999954652,444.256899994798
v3_standard,32,00050.png,5,True,57,32,0.011218070983886719,0.024522066116333008,0.086053067445755,32,4,0.125,28,"{""hangar"": 2, ""helicopter"": 1, ""jammer"": 9, ""jet_plane"": 2, ""large_launcher"": 6, ""large_tower"": 2, ""small_tower"": 1, ""spacecraft"": 4, ""ta-ta"": 2, ""tank"": 3}",0.2311105,0.3326428,0.8962330000000001,186.75149999035057,347.58119999605697,534.3326999864075
v3_standard,32,00055.png,5,True,54,32,0.012475848197937012,0.024301394820213318,0.13261563479900368,32,5,0.15625,27,"{""hangar"": 1, ""helicopter"": 1, ""jammer"": 9, ""jet_plane"": 3, ""large_launcher"": 2, ""large_tower"": 1, ""medium_plane"": 1, ""small_launcher"": 3, ""small_tower"": 1, ""spacecraft"": 2, ""ta-ta"": 4, ""tank"": 4}",0.2260935,0.43825780000000003,0.9278390000000001,160.85660000680946,304.27680000138935,465.1334000081988
v3_standard,32,00060.png,5,True,69,32,0.011858665943145752,0.0209200382232666,0.16273914575576795,32,4,0.125,28,"{""hangar"": 1, ""jammer"": 10, ""jet_plane"": 2, ""large_launcher"": 2, ""medium_launcher"": 1, ""medium_plane"": 1, ""small_launcher"": 1, ""small_tower"": 1, ""spacecraft"": 6, ""ta-ta"": 4, ""tank"": 3}",0.23775000000000002,0.3070041,0.8917385,161.37990000424907,262.20130000729114,423.5812000115402
v3_standard,32,00065.png,5,True,62,32,0.011508455872535706,0.02465580403804779,0.12687184512615204,32,7,0.21875,25,"{""hangar"": 1, ""jammer"": 9, ""jet_plane"": 3, ""large_launcher"": 3, ""medium_plane"": 3, ""small_launcher"": 1, ""small_tower"": 1, ""spacecraft"": 6, ""ta-ta"": 2, ""tank"": 3}",0.2025285,0.40791530000000004,0.923026,162.48300000734162,268.76209999318235,431.24510000052396
v3_standard,32,00070.png,5,True,71,32,0.010978460311889648,0.022230207920074463,0.0703820288181305,32,3,0.09375,29,"{""jammer"": 8, ""jet_plane"": 4, ""large_launcher"": 5, ""large_tower"": 1, ""medium_plane"": 2, ""small_launcher"": 3, ""small_tower"": 2, ""spacecraft"": 3, ""ta-ta"": 3, ""tank"": 1}",0.2567885,0.4066677000000001,0.954723,181.9322000083048,348.545999993803,530.4782000021078
v3_standard,32,00075.png,5,True,79,32,0.010934281349182128,0.024456053972244263,0.08776459693908695,32,5,0.15625,27,"{""hangar"": 1, ""jammer"": 11, ""jet_plane"": 5, ""large_launcher"": 2, ""large_tower"": 1, ""medium_plane"": 3, ""small_launcher"": 1, ""small_tower"": 1, ""spacecraft"": 4, ""ta-ta"": 2, ""tank"": 1}",0.2755645,0.37230040000000003,0.9446155,177.78859999089036,298.8474000012502,476.63599999214057
v3_standard,32,00080.png,5,True,69,32,0.01220998764038086,0.021719515323638916,0.10720725059509278,32,2,0.0625,30,"{""condor"": 2, ""hangar"": 3, ""jammer"": 7, ""jet_plane"": 2, ""large_launcher"": 2, ""medium_launcher"": 2, ""medium_plane"": 4, ""small_launcher"": 2, ""small_tower"": 1, ""spacecraft"": 3, ""ta-ta"": 4}",0.229742,0.3477823,0.909659,180.4544999904465,297.22079999919515,477.67529998964164
v3_standard,32,00085.png,5,True,63,32,0.011595624685287475,0.021939188241958618,0.08193379640579229,32,2,0.0625,30,"{""condor"": 2, ""hangar"": 1, ""jammer"": 7, ""jet_plane"": 8, ""large_launcher"": 2, ""large_tower"": 1, ""medium_plane"": 3, ""spacecraft"": 4, ""ta-ta"": 4}",0.24160949999999998,0.4307129000000001,0.9302535,164.96120000374503,297.8127999958815,462.77399999962654
v3_standard,32,00090.png,5,True,60,32,0.013277316093444824,0.019790127873420715,0.06176932156085969,32,3,0.09375,29,"{""condor"": 1, ""hangar"": 2, ""helicopter"": 1, ""jammer"": 7, ""jet_plane"": 4, ""large_launcher"": 3, ""large_tower"": 4, ""medium_launcher"": 1, ""medium_plane"": 3, ""spacecraft"": 2, ""ta-ta"": 2, ""tank"": 2}",0.2261785,0.37680810000000003,0.8645725,179.83010000898503,321.93479999841657,501.7649000074016
v3_standard,32,00095.png,5,True,44,32,0.01255146861076355,0.016080692410469055,0.07259723544120789,32,7,0.21875,25,"{""condor"": 3, ""jammer"": 6, ""jet_plane"": 2, ""large_launcher"": 3, ""medium_launcher"": 2, ""medium_plane"": 2, ""mine_roller"": 1, ""small_launcher"": 3, ""small_tower"": 3, ""spacecraft"": 1, ""ta-ta"": 4, ""tank"": 2}",0.2171905,0.4492607,0.931714,190.42759999865666,376.11379999725614,566.5413999959128
v3_standard,32,00100.png,5,True,47,32,0.012249612808227539,0.02148371934890747,0.10899283885955809,32,5,0.15625,27,"{""condor"": 8, ""hangar"": 1, ""helicopter"": 4, ""jammer"": 6, ""jet_plane"": 1, ""large_launcher"": 3, ""large_tower"": 1, ""small_launcher"": 2, ""spacecraft"": 1, ""ta-ta"": 4, ""tank"": 1}",0.216526,0.41420080000000004,0.903951,160.7594999950379,278.2822000008309,439.04169999586884
v3_standard,32,00105.png,5,True,49,32,0.01167370080947876,0.025914371013641357,0.11379934549331668,32,5,0.15625,27,"{""condor"": 3, ""hangar"": 3, ""jammer"": 8, ""jet_plane"": 2, ""large_launcher"": 4, ""large_tower"": 2, ""medium_launcher"": 2, ""medium_plane"": 1, ""small_launcher"": 2, ""small_tower"": 1, ""spacecraft"": 1, ""ta-ta"": 3}",0.2315735,0.3094388,0.8922289999999999,163.40069999569096,292.937999998685,456.33869999437593
