dataset,frame_index,record_present,sequence_id,request_frame,resolution_level,center_x,center_y,camera_decision_reason,camera_requested_level,camera_requested_center_x,camera_requested_center_y,camera_feedback_present,camera_feedback_reason,proposal_count,crops,rejected_as_background,rejection_fraction,mean_objectness,mean_margin,observation_count,observation_top_posterior_mean,bank_tracks,bank_matched,bank_created,bank_removed,confirmed_tracks,tentative_tracks,track_age_mean,track_age_max,track_identity_confidence_mean,track_posterior_gap_mean,output_candidates,output_emitted,output_dropped_invalid,output_distinct_classes,output_secondary_guesses,gmc_model,gmc_ok,gmc_reason,gmc_quality,gmc_inliers,gmc_candidates,gmc_inlier_ratio,gmc_translation_x,gmc_translation_y,gmc_translation_magnitude,total_latency_ms
hosted,38,True,c6ae6aa777ba4e949a81d31e46a5f55f,39,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,3,0,0,2,2,1,1.0,1,0.08343333333333332,0.004833333333333333,9,9,0,7,6,affine,True,accepted,1.0,294,294,1.0,-14.45,52.36,54.31732780614304,91.91
hosted,39,True,c6ae6aa777ba4e949a81d31e46a5f55f,40,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,3,0,0,0,2,1,2.0,2,0.08343333333333332,0.004833333333333333,9,9,0,7,6,affine,True,accepted,1.0,293,293,1.0,-14.48,52.54,54.498825675421664,92.44
hosted,40,True,c6ae6aa777ba4e949a81d31e46a5f55f,41,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,0,0,0,3,0,0,,,,,0,0,0,0,0,affine,True,accepted,0.9966,295,296,0.9966,-14.38,52.54,54.47234160562588,93.36
hosted,41,True,c6ae6aa777ba4e949a81d31e46a5f55f,42,0,1920,1080,hold-current-view,,,,False,,3,3,0,0.0,0.92,0.0121,3,0.2085,3,0,3,0,0,3,0.0,0,0.07736666666666667,0.0018000000000000006,9,9,0,7,6,affine,True,accepted,0.9967,299,300,0.9967,-14.36,52.61,54.534591774395814,111.81
hosted,42,True,c6ae6aa777ba4e949a81d31e46a5f55f,43,0,1920,1080,hold-current-view,,,,False,,3,3,0,0.0,0.932,0.0265,3,0.24206666666666665,4,2,1,0,2,2,0.25,1,0.086725,0.004275000000000001,12,12,0,7,8,affine,True,accepted,1.0,293,293,1.0,-14.46,52.52,54.474232440668686,111.72
hosted,43,True,c6ae6aa777ba4e949a81d31e46a5f55f,44,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.9362,0.0458,2,0.27065,5,1,1,0,3,2,0.6,1,0.09062,0.00796,15,15,0,8,10,affine,True,accepted,0.9899,293,296,0.9899,-14.19,52.73,54.60594290001776,110.94
hosted,44,True,c6ae6aa777ba4e949a81d31e46a5f55f,45,0,1920,1080,hold-current-view,,,,False,,4,4,0,0.0,0.9324,0.0254,4,0.24905,5,3,1,1,4,1,0.4,2,0.10184,0.012639999999999998,15,15,0,11,10,affine,True,accepted,0.9966,297,298,0.9966,-14.36,52.36,54.293454485784935,116.81
hosted,45,True,c6ae6aa777ba4e949a81d31e46a5f55f,46,0,1920,1080,hold-current-view,,,,False,,4,4,0,0.0,0.9654,0.0217,4,0.26295,6,3,1,0,4,2,0.3333333333333333,1,0.10661666666666665,0.012899999999999995,18,18,0,10,12,affine,True,accepted,0.9966,294,295,0.9966,-14.61,51.99,54.003816531797085,114.07
hosted,46,True,c6ae6aa777ba4e949a81d31e46a5f55f,47,0,1920,1080,hold-current-view,,,,False,,3,3,0,0.0,0.958,0.038,3,0.23529999999999998,5,3,0,1,4,1,0.6,2,0.11657999999999999,0.020339999999999997,15,15,0,9,10,affine,True,accepted,0.9863,287,291,0.9863,-14.1,52.88,54.727546994178354,112.76
hosted,47,True,c6ae6aa777ba4e949a81d31e46a5f55f,48,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.9888,0.0248,2,0.25725,4,2,0,1,4,0,0.75,2,0.12915,0.026375,12,12,0,7,8,affine,True,accepted,1.0,294,294,1.0,-14.61,52.31,54.31195264396227,108.65
hosted,48,True,c6ae6aa777ba4e949a81d31e46a5f55f,49,0,1920,1080,hold-current-view,,,,False,,5,5,0,0.0,0.9605,0.0213,5,0.27438,5,3,2,1,3,2,0.0,0,0.12368000000000001,0.0199,15,15,0,9,10,affine,True,accepted,0.993,285,287,0.993,-14.27,52.59,54.49165991232053,119.04
